"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037121102, CA","06037121102","=""06037121102""","6.54"
"06037532303, CA","06037532303","=""06037532303""","10.90"
"06037400204, CA","06037400204","=""06037400204""","0.67"
"06037920116, CA","06037920116","=""06037920116""","2.01"
"06037460700, CA","06037460700","=""06037460700""","0.00"
"06037103200, CA","06037103200","=""06037103200""","1.98"
"06037980014, CA","06037980014","=""06037980014""","N/A"
"06037980018, CA","06037980018","=""06037980018""","N/A"
"06037113211, CA","06037113211","=""06037113211""","1.01"
"06037500201, CA","06037500201","=""06037500201""","1.00"
"06037403312, CA","06037403312","=""06037403312""","4.81"
"06037980021, CA","06037980021","=""06037980021""","N/A"
"06037300901, CA","06037300901","=""06037300901""","0.00"
"06037502700, CA","06037502700","=""06037502700""","6.32"
"06037980002, CA","06037980002","=""06037980002""","N/A"
"06037910707, CA","06037910707","=""06037910707""","13.51"
"06037460000, CA","06037460000","=""06037460000""","0.00"
"06037460800, CA","06037460800","=""06037460800""","0.00"
"06037670702, CA","06037670702","=""06037670702""","0.64"
"06037403321, CA","06037403321","=""06037403321""","2.74"
"06037261101, CA","06037261101","=""06037261101""","2.53"
"06037433802, CA","06037433802","=""06037433802""","10.73"
"06037504102, CA","06037504102","=""06037504102""","N/A"
"06037920031, CA","06037920031","=""06037920031""","1.91"
"06037500202, CA","06037500202","=""06037500202""","2.67"
"06037101400, CA","06037101400","=""06037101400""","2.36"
"06037980022, CA","06037980022","=""06037980022""","N/A"
"06037464100, CA","06037464100","=""06037464100""","0.00"
"06037501501, CA","06037501501","=""06037501501""","1.18"
"06037300301, CA","06037300301","=""06037300301""","0.34"
"06037103300, CA","06037103300","=""06037103300""","0.00"
"06037300800, CA","06037300800","=""06037300800""","4.14"
"06037139802, CA","06037139802","=""06037139802""","0.00"
"06037401800, CA","06037401800","=""06037401800""","0.91"
"06037108202, CA","06037108202","=""06037108202""","3.08"
"06037262604, CA","06037262604","=""06037262604""","4.30"
"06037920015, CA","06037920015","=""06037920015""","0.50"
"06037401303, CA","06037401303","=""06037401303""","0.71"
"06037910705, CA","06037910705","=""06037910705""","3.90"
"06037106510, CA","06037106510","=""06037106510""","1.41"
"06037460100, CA","06037460100","=""06037460100""","4.81"
"06037700600, CA","06037700600","=""06037700600""","0.64"
"06037800327, CA","06037800327","=""06037800327""","3.88"
"06037402200, CA","06037402200","=""06037402200""","10.14"
"06037910807, CA","06037910807","=""06037910807""","3.06"
"06037651101, CA","06037651101","=""06037651101""","3.30"
"06037460401, CA","06037460401","=""06037460401""","4.42"
"06037980015, CA","06037980015","=""06037980015""","11.71"
"06037400207, CA","06037400207","=""06037400207""","1.16"
"06037900705, CA","06037900705","=""06037900705""","3.76"
"06037900605, CA","06037900605","=""06037900605""","5.91"
"06037402402, CA","06037402402","=""06037402402""","3.39"
"06037143901, CA","06037143901","=""06037143901""","0.60"
"06037901101, CA","06037901101","=""06037901101""","1.38"
"06037670324, CA","06037670324","=""06037670324""","0.00"
"06037980013, CA","06037980013","=""06037980013""","N/A"
"06037901007, CA","06037901007","=""06037901007""","0.78"
"06037503902, CA","06037503902","=""06037503902""","4.14"
"06037900704, CA","06037900704","=""06037900704""","6.75"
"06037980023, CA","06037980023","=""06037980023""","N/A"
"06037980030, CA","06037980030","=""06037980030""","N/A"
"06037901102, CA","06037901102","=""06037901102""","2.68"
"06037900602, CA","06037900602","=""06037900602""","9.13"
"06037430200, CA","06037430200","=""06037430200""","4.33"
"06037920119, CA","06037920119","=""06037920119""","1.30"
"06037406300, CA","06037406300","=""06037406300""","5.92"
"06037576602, CA","06037576602","=""06037576602""","4.33"
"06037460301, CA","06037460301","=""06037460301""","3.18"
"06037670328, CA","06037670328","=""06037670328""","0.00"
"06037554521, CA","06037554521","=""06037554521""","8.46"
"06037403600, CA","06037403600","=""06037403600""","3.63"
"06037403500, CA","06037403500","=""06037403500""","1.81"
"06037543321, CA","06037543321","=""06037543321""","3.66"
"06037670201, CA","06037670201","=""06037670201""","0.90"
"06037400604, CA","06037400604","=""06037400604""","6.86"
"06037800332, CA","06037800332","=""06037800332""","0.00"
"06037113237, CA","06037113237","=""06037113237""","2.13"
"06037703001, CA","06037703001","=""06037703001""","0.98"
"06037139703, CA","06037139703","=""06037139703""","1.55"
"06037206031, CA","06037206031","=""06037206031""","1.66"
"06037430501, CA","06037430501","=""06037430501""","0.00"
"06037403407, CA","06037403407","=""06037403407""","0.00"
"06037408503, CA","06037408503","=""06037408503""","2.38"
"06037670416, CA","06037670416","=""06037670416""","0.72"
"06037300100, CA","06037300100","=""06037300100""","4.32"
"06037670326, CA","06037670326","=""06037670326""","1.64"
"06037135203, CA","06037135203","=""06037135203""","2.24"
"06037104124, CA","06037104124","=""06037104124""","13.15"
"06037910207, CA","06037910207","=""06037910207""","3.89"
"06037138000, CA","06037138000","=""06037138000""","0.00"
"06037543306, CA","06037543306","=""06037543306""","4.90"
"06037403303, CA","06037403303","=""06037403303""","7.91"
"06037300902, CA","06037300902","=""06037300902""","0.67"
"06037400402, CA","06037400402","=""06037400402""","3.32"
"06037106643, CA","06037106643","=""06037106643""","0.00"
