"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a smartphone and no other t"
"06037602200, CA","06037602200","=""06037602200""","6.29"
"06037703200, CA","06037703200","=""06037703200""","0.60"
"06037408722, CA","06037408722","=""06037408722""","5.54"
"06037106406, CA","06037106406","=""06037106406""","4.70"
"06037920017, CA","06037920017","=""06037920017""","1.84"
"06037137502, CA","06037137502","=""06037137502""","1.54"
"06037910712, CA","06037910712","=""06037910712""","1.12"
"06037408301, CA","06037408301","=""06037408301""","6.30"
"06037571300, CA","06037571300","=""06037571300""","1.24"
"06037113232, CA","06037113232","=""06037113232""","0.00"
"06037301000, CA","06037301000","=""06037301000""","2.54"
"06037431600, CA","06037431600","=""06037431600""","4.54"
"06037117302, CA","06037117302","=""06037117302""","3.53"
"06037553100, CA","06037553100","=""06037553100""","6.01"
"06037406500, CA","06037406500","=""06037406500""","7.17"
"06037295103, CA","06037295103","=""06037295103""","2.50"
"06037121210, CA","06037121210","=""06037121210""","4.70"
"06037431502, CA","06037431502","=""06037431502""","7.75"
"06037103101, CA","06037103101","=""06037103101""","1.34"
"06037602509, CA","06037602509","=""06037602509""","9.47"
"06037121010, CA","06037121010","=""06037121010""","2.16"
"06037402403, CA","06037402403","=""06037402403""","7.92"
"06037553601, CA","06037553601","=""06037553601""","14.05"
"06037106020, CA","06037106020","=""06037106020""","1.38"
"06037910502, CA","06037910502","=""06037910502""","8.64"
"06037401602, CA","06037401602","=""06037401602""","2.95"
"06037910602, CA","06037910602","=""06037910602""","5.97"
"06037910713, CA","06037910713","=""06037910713""","13.56"
"06037300400, CA","06037300400","=""06037300400""","0.63"
"06037910715, CA","06037910715","=""06037910715""","7.13"
"06037111301, CA","06037111301","=""06037111301""","6.35"
"06037141400, CA","06037141400","=""06037141400""","3.32"
"06037501300, CA","06037501300","=""06037501300""","1.21"
"06037137201, CA","06037137201","=""06037137201""","2.36"
"06037407702, CA","06037407702","=""06037407702""","6.77"
"06037702400, CA","06037702400","=""06037702400""","3.97"
"06037401701, CA","06037401701","=""06037401701""","3.89"
"06037650701, CA","06037650701","=""06037650701""","1.95"
"06037430101, CA","06037430101","=""06037430101""","9.02"
"06037408505, CA","06037408505","=""06037408505""","0.91"
"06037570502, CA","06037570502","=""06037570502""","9.32"
"06037540800, CA","06037540800","=""06037540800""","5.35"
"06037432300, CA","06037432300","=""06037432300""","3.28"
"06037650902, CA","06037650902","=""06037650902""","8.60"
"06037310501, CA","06037310501","=""06037310501""","4.24"
"06037400900, CA","06037400900","=""06037400900""","2.95"
"06037406601, CA","06037406601","=""06037406601""","5.10"
"06037461100, CA","06037461100","=""06037461100""","6.97"
"06037536104, CA","06037536104","=""06037536104""","18.12"
"06037461300, CA","06037461300","=""06037461300""","0.00"
"06037543322, CA","06037543322","=""06037543322""","7.43"
"06037430302, CA","06037430302","=""06037430302""","2.11"
"06037201402, CA","06037201402","=""06037201402""","4.76"
"06037401603, CA","06037401603","=""06037401603""","4.00"
"06037701201, CA","06037701201","=""06037701201""","0.00"
"06037602600, CA","06037602600","=""06037602600""","7.81"
"06037600802, CA","06037600802","=""06037600802""","4.61"
"06037463400, CA","06037463400","=""06037463400""","2.82"
"06037602302, CA","06037602302","=""06037602302""","1.90"
"06037571900, CA","06037571900","=""06037571900""","9.15"
"06037503401, CA","06037503401","=""06037503401""","9.01"
"06037502601, CA","06037502601","=""06037502601""","2.87"
"06037502100, CA","06037502100","=""06037502100""","1.82"
"06037408705, CA","06037408705","=""06037408705""","5.26"
"06037500800, CA","06037500800","=""06037500800""","4.69"
"06037111201, CA","06037111201","=""06037111201""","2.32"
"06037553200, CA","06037553200","=""06037553200""","1.33"
"06037800331, CA","06037800331","=""06037800331""","2.30"
"06037115401, CA","06037115401","=""06037115401""","13.86"
"06037320100, CA","06037320100","=""06037320100""","10.87"
"06037300200, CA","06037300200","=""06037300200""","3.54"
"06037406000, CA","06037406000","=""06037406000""","4.05"
"06037401203, CA","06037401203","=""06037401203""","5.06"
"06037402904, CA","06037402904","=""06037402904""","6.68"
"06037189300, CA","06037189300","=""06037189300""","0.53"
"06037406200, CA","06037406200","=""06037406200""","3.81"
"06037403721, CA","06037403721","=""06037403721""","7.72"
"06037701801, CA","06037701801","=""06037701801""","7.18"
"06037405800, CA","06037405800","=""06037405800""","2.74"
"06037195100, CA","06037195100","=""06037195100""","0.00"
"06037571701, CA","06037571701","=""06037571701""","4.85"
"06037463900, CA","06037463900","=""06037463900""","0.00"
"06037650101, CA","06037650101","=""06037650101""","0.00"
"06037920045, CA","06037920045","=""06037920045""","0.00"
"06037403801, CA","06037403801","=""06037403801""","6.23"
"06037134800, CA","06037134800","=""06037134800""","5.52"
"06037432102, CA","06037432102","=""06037432102""","0.41"
"06037111202, CA","06037111202","=""06037111202""","0.79"
"06037432700, CA","06037432700","=""06037432700""","9.02"
"06037264000, CA","06037264000","=""06037264000""","0.99"
"06037650300, CA","06037650300","=""06037650300""","6.79"
"06037430802, CA","06037430802","=""06037430802""","5.03"
"06037405500, CA","06037405500","=""06037405500""","5.04"
"06037540000, CA","06037540000","=""06037540000""","13.36"
"06037402902, CA","06037402902","=""06037402902""","12.80"
"06037461000, CA","06037461000","=""06037461000""","6.91"
"06037577000, CA","06037577000","=""06037577000""","3.53"
"06037481402, CA","06037481402","=""06037481402""","5.89"
"06037481901, CA","06037481901","=""06037481901""","5.03"
"06037574100, CA","06037574100","=""06037574100""","2.99"
"06037920041, CA","06037920041","=""06037920041""","0.00"
"06037117202, CA","06037117202","=""06037117202""","4.42"
"06037900806, CA","06037900806","=""06037900806""","7.49"
"06037111400, CA","06037111400","=""06037111400""","2.39"
"06037651402, CA","06037651402","=""06037651402""","1.48"
"06037573700, CA","06037573700","=""06037573700""","2.63"
"06037401704, CA","06037401704","=""06037401704""","5.20"
"06037702502, CA","06037702502","=""06037702502""","1.39"
"06037574000, CA","06037574000","=""06037574000""","1.83"
"06037402801, CA","06037402801","=""06037402801""","15.72"
"06037117303, CA","06037117303","=""06037117303""","1.81"
"06037570901, CA","06037570901","=""06037570901""","1.73"
"06037403722, CA","06037403722","=""06037403722""","10.07"
"06037463000, CA","06037463000","=""06037463000""","0.00"
"06037530202, CA","06037530202","=""06037530202""","4.56"
"06037554518, CA","06037554518","=""06037554518""","1.05"
"06037405302, CA","06037405302","=""06037405302""","10.08"
"06037275302, CA","06037275302","=""06037275302""","5.84"
"06037113322, CA","06037113322","=""06037113322""","2.48"
"06037408800, CA","06037408800","=""06037408800""","13.62"
"06037431400, CA","06037431400","=""06037431400""","4.88"
"06037143100, CA","06037143100","=""06037143100""","1.51"
"06037433200, CA","06037433200","=""06037433200""","13.60"
"06037602301, CA","06037602301","=""06037602301""","5.09"
"06037117404, CA","06037117404","=""06037117404""","5.87"
"06037900606, CA","06037900606","=""06037900606""","3.50"
"06037553802, CA","06037553802","=""06037553802""","8.01"
"06037135202, CA","06037135202","=""06037135202""","4.59"
"06037431001, CA","06037431001","=""06037431001""","6.87"
"06037570701, CA","06037570701","=""06037570701""","8.13"
"06037143400, CA","06037143400","=""06037143400""","1.84"
"06037502200, CA","06037502200","=""06037502200""","7.52"
"06037408629, CA","06037408629","=""06037408629""","0.54"
"06037554900, CA","06037554900","=""06037554900""","3.09"
"06037115202, CA","06037115202","=""06037115202""","2.04"
"06037406800, CA","06037406800","=""06037406800""","3.37"
"06037920112, CA","06037920112","=""06037920112""","0.88"
"06037571000, CA","06037571000","=""06037571000""","1.54"
"06037294701, CA","06037294701","=""06037294701""","23.80"
"06037463700, CA","06037463700","=""06037463700""","5.35"
"06037900607, CA","06037900607","=""06037900607""","0.60"
"06037206050, CA","06037206050","=""06037206050""","11.80"
"06037651201, CA","06037651201","=""06037651201""","1.29"
"06037403402, CA","06037403402","=""06037403402""","3.53"
"06037128400, CA","06037128400","=""06037128400""","3.07"
"06037408303, CA","06037408303","=""06037408303""","6.08"
"06037554519, CA","06037554519","=""06037554519""","0.00"
"06037120300, CA","06037120300","=""06037120300""","10.75"
"06037401901, CA","06037401901","=""06037401901""","3.15"
"06037320300, CA","06037320300","=""06037320300""","13.35"
"06037503702, CA","06037503702","=""06037503702""","2.57"
"06037480802, CA","06037480802","=""06037480802""","0.00"
"06037403702, CA","06037403702","=""06037403702""","3.97"
"06037430801, CA","06037430801","=""06037430801""","2.64"
"06037122200, CA","06037122200","=""06037122200""","7.87"
"06037311100, CA","06037311100","=""06037311100""","4.93"
"06037405001, CA","06037405001","=""06037405001""","7.96"
"06037119002, CA","06037119002","=""06037119002""","3.34"
"06037404701, CA","06037404701","=""06037404701""","13.33"
"06037201700, CA","06037201700","=""06037201700""","6.37"
"06037121900, CA","06037121900","=""06037121900""","8.38"
"06037264302, CA","06037264302","=""06037264302""","2.19"
"06037186302, CA","06037186302","=""06037186302""","5.08"
"06037552200, CA","06037552200","=""06037552200""","11.60"
"06037135102, CA","06037135102","=""06037135102""","0.00"
"06037463500, CA","06037463500","=""06037463500""","1.09"
"06037573403, CA","06037573403","=""06037573403""","0.00"
"06037551101, CA","06037551101","=""06037551101""","12.28"
"06037402002, CA","06037402002","=""06037402002""","4.32"
"06037551102, CA","06037551102","=""06037551102""","8.76"
"06037462700, CA","06037462700","=""06037462700""","2.27"
"06037621326, CA","06037621326","=""06037621326""","1.04"
"06037104704, CA","06037104704","=""06037104704""","8.51"
"06037920336, CA","06037920336","=""06037920336""","6.14"
"06037543503, CA","06037543503","=""06037543503""","8.75"
"06037102104, CA","06037102104","=""06037102104""","1.54"
"06037461600, CA","06037461600","=""06037461600""","8.62"
"06037128702, CA","06037128702","=""06037128702""","4.10"
"06037300502, CA","06037300502","=""06037300502""","7.31"
"06037920337, CA","06037920337","=""06037920337""","7.68"
"06037670403, CA","06037670403","=""06037670403""","0.50"
"06037238000, CA","06037238000","=""06037238000""","8.54"
"06037143300, CA","06037143300","=""06037143300""","2.31"
"06037570202, CA","06037570202","=""06037570202""","12.31"
"06037203500, CA","06037203500","=""06037203500""","11.43"
"06037621104, CA","06037621104","=""06037621104""","0.00"
"06037115301, CA","06037115301","=""06037115301""","7.08"
"06037406102, CA","06037406102","=""06037406102""","14.04"
"06037550100, CA","06037550100","=""06037550100""","8.05"
"06037482522, CA","06037482522","=""06037482522""","2.37"
"06037262501, CA","06037262501","=""06037262501""","0.43"
"06037910505, CA","06037910505","=""06037910505""","6.76"
"06037463200, CA","06037463200","=""06037463200""","1.40"
"06037621201, CA","06037621201","=""06037621201""","0.76"
"06037320202, CA","06037320202","=""06037320202""","4.92"
"06037543602, CA","06037543602","=""06037543602""","2.77"
"06037137301, CA","06037137301","=""06037137301""","0.92"
"06037278001, CA","06037278001","=""06037278001""","2.01"
"06037910504, CA","06037910504","=""06037910504""","9.02"
"06037132002, CA","06037132002","=""06037132002""","8.27"
"06037650001, CA","06037650001","=""06037650001""","2.48"
"06037543304, CA","06037543304","=""06037543304""","1.95"
"06037301400, CA","06037301400","=""06037301400""","1.22"
"06037265301, CA","06037265301","=""06037265301""","N/A"
"06037502301, CA","06037502301","=""06037502301""","5.68"
"06037109700, CA","06037109700","=""06037109700""","0.00"
"06037402903, CA","06037402903","=""06037402903""","7.84"
"06037503402, CA","06037503402","=""06037503402""","4.62"
"06037481202, CA","06037481202","=""06037481202""","3.41"
"06037406602, CA","06037406602","=""06037406602""","8.07"
"06037106642, CA","06037106642","=""06037106642""","1.16"
"06037134303, CA","06037134303","=""06037134303""","6.03"
"06037134423, CA","06037134423","=""06037134423""","1.70"
"06037433801, CA","06037433801","=""06037433801""","13.50"
"06037601401, CA","06037601401","=""06037601401""","9.78"
"06037551900, CA","06037551900","=""06037551900""","6.21"
"06037433101, CA","06037433101","=""06037433101""","7.78"
"06037199000, CA","06037199000","=""06037199000""","4.94"
"06037542402, CA","06037542402","=""06037542402""","4.22"
"06037111302, CA","06037111302","=""06037111302""","2.94"
"06037621301, CA","06037621301","=""06037621301""","0.00"
"06037294120, CA","06037294120","=""06037294120""","22.89"
"06037127210, CA","06037127210","=""06037127210""","21.00"
"06037482521, CA","06037482521","=""06037482521""","2.69"
"06037400602, CA","06037400602","=""06037400602""","8.38"
"06037572201, CA","06037572201","=""06037572201""","3.85"
"06037572202, CA","06037572202","=""06037572202""","9.60"
"06037503302, CA","06037503302","=""06037503302""","3.46"
"06037530400, CA","06037530400","=""06037530400""","18.54"
"06037503501, CA","06037503501","=""06037503501""","2.89"
"06037504002, CA","06037504002","=""06037504002""","4.05"
"06037123601, CA","06037123601","=""06037123601""","5.25"
"06037135201, CA","06037135201","=""06037135201""","1.34"
"06037113422, CA","06037113422","=""06037113422""","0.00"
"06037480201, CA","06037480201","=""06037480201""","1.37"
"06037554802, CA","06037554802","=""06037554802""","5.77"
"06037115103, CA","06037115103","=""06037115103""","0.00"
"06037571504, CA","06037571504","=""06037571504""","8.78"
"06037540300, CA","06037540300","=""06037540300""","16.55"
"06037551300, CA","06037551300","=""06037551300""","12.85"
"06037573800, CA","06037573800","=""06037573800""","4.37"
"06037570001, CA","06037570001","=""06037570001""","1.84"
"06037133100, CA","06037133100","=""06037133100""","5.88"
"06037651222, CA","06037651222","=""06037651222""","0.64"
"06037570402, CA","06037570402","=""06037570402""","1.47"
"06037480202, CA","06037480202","=""06037480202""","3.55"
"06037920331, CA","06037920331","=""06037920331""","2.81"
"06037104310, CA","06037104310","=""06037104310""","4.36"
"06037910501, CA","06037910501","=""06037910501""","20.81"
"06037432402, CA","06037432402","=""06037432402""","9.47"
"06037402702, CA","06037402702","=""06037402702""","19.81"
"06037554514, CA","06037554514","=""06037554514""","0.90"
"06037311500, CA","06037311500","=""06037311500""","0.00"
"06037900804, CA","06037900804","=""06037900804""","8.87"
"06037407900, CA","06037407900","=""06037407900""","6.47"
"06037203300, CA","06037203300","=""06037203300""","12.10"
"06037603900, CA","06037603900","=""06037603900""","7.26"
"06037670405, CA","06037670405","=""06037670405""","1.86"
"06037577604, CA","06037577604","=""06037577604""","3.62"
"06037431800, CA","06037431800","=""06037431800""","2.43"
"06037670003, CA","06037670003","=""06037670003""","8.16"
"06037106646, CA","06037106646","=""06037106646""","2.48"
"06037408631, CA","06037408631","=""06037408631""","5.71"
"06037431200, CA","06037431200","=""06037431200""","8.05"
"06037570501, CA","06037570501","=""06037570501""","11.60"
"06037403305, CA","06037403305","=""06037403305""","3.44"
"06037401002, CA","06037401002","=""06037401002""","5.73"
"06037555102, CA","06037555102","=""06037555102""","9.79"
"06037402502, CA","06037402502","=""06037402502""","22.55"
"06037550602, CA","06037550602","=""06037550602""","5.26"
"06037134201, CA","06037134201","=""06037134201""","9.50"
"06037543603, CA","06037543603","=""06037543603""","2.19"
"06037501002, CA","06037501002","=""06037501002""","2.21"
"06037205120, CA","06037205120","=""06037205120""","16.17"
"06037551501, CA","06037551501","=""06037551501""","7.09"
"06037189702, CA","06037189702","=""06037189702""","0.85"
"06037271300, CA","06037271300","=""06037271300""","1.19"
"06037402001, CA","06037402001","=""06037402001""","5.34"
"06037552100, CA","06037552100","=""06037552100""","6.41"
"06037700801, CA","06037700801","=""06037700801""","2.45"
"06037407200, CA","06037407200","=""06037407200""","6.67"
"06037404401, CA","06037404401","=""06037404401""","9.94"
"06037401001, CA","06037401001","=""06037401001""","0.59"
"06037131020, CA","06037131020","=""06037131020""","6.31"
"06037189400, CA","06037189400","=""06037189400""","1.11"
"06037540501, CA","06037540501","=""06037540501""","7.22"
"06037554516, CA","06037554516","=""06037554516""","1.72"
"06037106113, CA","06037106113","=""06037106113""","2.65"
"06037181300, CA","06037181300","=""06037181300""","2.11"
"06037670100, CA","06037670100","=""06037670100""","4.48"
"06037113235, CA","06037113235","=""06037113235""","2.67"
"06037206010, CA","06037206010","=""06037206010""","8.19"
"06037297000, CA","06037297000","=""06037297000""","4.54"
"06037532101, CA","06037532101","=""06037532101""","13.87"
"06037572001, CA","06037572001","=""06037572001""","2.97"
"06037701000, CA","06037701000","=""06037701000""","2.26"
"06037408504, CA","06037408504","=""06037408504""","3.73"
"06037501200, CA","06037501200","=""06037501200""","2.31"
"06037481103, CA","06037481103","=""06037481103""","5.80"
"06037500900, CA","06037500900","=""06037500900""","9.25"
"06037408003, CA","06037408003","=""06037408003""","5.09"
"06037310400, CA","06037310400","=""06037310400""","3.86"
"06037651001, CA","06037651001","=""06037651001""","5.78"
"06037109800, CA","06037109800","=""06037109800""","3.31"
"06037432601, CA","06037432601","=""06037432601""","9.84"
"06037551202, CA","06037551202","=""06037551202""","5.60"
"06037541700, CA","06037541700","=""06037541700""","6.45"
"06037197410, CA","06037197410","=""06037197410""","2.03"
"06037930401, CA","06037930401","=""06037930401""","N/A"
"06037269500, CA","06037269500","=""06037269500""","0.77"
"06037404801, CA","06037404801","=""06037404801""","23.63"
"06037650702, CA","06037650702","=""06037650702""","0.00"
"06037503601, CA","06037503601","=""06037503601""","4.28"
"06037406101, CA","06037406101","=""06037406101""","3.73"
"06037501700, CA","06037501700","=""06037501700""","0.00"
"06037577602, CA","06037577602","=""06037577602""","1.67"
"06037432202, CA","06037432202","=""06037432202""","12.11"
"06037504001, CA","06037504001","=""06037504001""","3.50"
"06037910606, CA","06037910606","=""06037910606""","2.77"
"06037542200, CA","06037542200","=""06037542200""","11.36"
"06037115201, CA","06037115201","=""06037115201""","4.10"
"06037501900, CA","06037501900","=""06037501900""","9.25"
"06037408624, CA","06037408624","=""06037408624""","1.77"
"06037132102, CA","06037132102","=""06037132102""","8.34"
"06037302401, CA","06037302401","=""06037302401""","9.68"
"06037552700, CA","06037552700","=""06037552700""","8.28"
"06037571502, CA","06037571502","=""06037571502""","10.65"
"06037552602, CA","06037552602","=""06037552602""","3.00"
"06037621324, CA","06037621324","=""06037621324""","0.00"
"06037431002, CA","06037431002","=""06037431002""","7.66"
"06037575500, CA","06037575500","=""06037575500""","0.00"
"06037910605, CA","06037910605","=""06037910605""","7.40"
"06037124700, CA","06037124700","=""06037124700""","2.10"
"06037900608, CA","06037900608","=""06037900608""","2.44"
"06037620601, CA","06037620601","=""06037620601""","2.68"
"06037405702, CA","06037405702","=""06037405702""","5.47"
"06037405201, CA","06037405201","=""06037405201""","14.84"
"06037920023, CA","06037920023","=""06037920023""","6.14"
"06037480002, CA","06037480002","=""06037480002""","2.30"
"06037124000, CA","06037124000","=""06037124000""","0.66"
"06037577501, CA","06037577501","=""06037577501""","3.92"
"06037532001, CA","06037532001","=""06037532001""","25.37"
"06037702700, CA","06037702700","=""06037702700""","3.07"
"06037620101, CA","06037620101","=""06037620101""","2.17"
"06037404100, CA","06037404100","=""06037404100""","5.97"
"06037541300, CA","06037541300","=""06037541300""","10.12"
"06037186100, CA","06037186100","=""06037186100""","6.64"
"06037574202, CA","06037574202","=""06037574202""","6.65"
"06037543802, CA","06037543802","=""06037543802""","5.92"
"06037405400, CA","06037405400","=""06037405400""","4.75"
"06037543903, CA","06037543903","=""06037543903""","1.75"
"06037301100, CA","06037301100","=""06037301100""","2.56"
"06037620602, CA","06037620602","=""06037620602""","1.86"
"06037121222, CA","06037121222","=""06037121222""","9.69"
"06037702501, CA","06037702501","=""06037702501""","0.00"
"06037503201, CA","06037503201","=""06037503201""","9.77"
"06037128910, CA","06037128910","=""06037128910""","5.17"
"06037236400, CA","06037236400","=""06037236400""","2.61"
"06037117301, CA","06037117301","=""06037117301""","1.01"
"06037500402, CA","06037500402","=""06037500402""","4.45"
"06037402301, CA","06037402301","=""06037402301""","11.08"
"06037300501, CA","06037300501","=""06037300501""","4.45"
"06037574901, CA","06037574901","=""06037574901""","2.06"
"06037502004, CA","06037502004","=""06037502004""","10.28"
"06037602802, CA","06037602802","=""06037602802""","7.65"
"06037900505, CA","06037900505","=""06037900505""","2.98"
"06037900506, CA","06037900506","=""06037900506""","3.51"
"06037650502, CA","06037650502","=""06037650502""","1.15"
"06037311000, CA","06037311000","=""06037311000""","4.76"
"06037132700, CA","06037132700","=""06037132700""","7.22"
"06037503000, CA","06037503000","=""06037503000""","6.74"
"06037131900, CA","06037131900","=""06037131900""","6.64"
"06037404000, CA","06037404000","=""06037404000""","9.08"
"06037405900, CA","06037405900","=""06037405900""","11.68"
"06037530102, CA","06037530102","=""06037530102""","7.97"
"06037131800, CA","06037131800","=""06037131800""","8.24"
"06037503802, CA","06037503802","=""06037503802""","3.95"
"06037462400, CA","06037462400","=""06037462400""","3.24"
"06037620702, CA","06037620702","=""06037620702""","1.49"
"06037571101, CA","06037571101","=""06037571101""","4.90"
"06037404703, CA","06037404703","=""06037404703""","11.51"
"06037700400, CA","06037700400","=""06037700400""","0.00"
"06037602402, CA","06037602402","=""06037602402""","7.58"
"06037119700, CA","06037119700","=""06037119700""","4.22"
"06037554517, CA","06037554517","=""06037554517""","1.17"
"06037460302, CA","06037460302","=""06037460302""","0.72"
"06037134302, CA","06037134302","=""06037134302""","3.57"
"06037402804, CA","06037402804","=""06037402804""","10.15"
"06037543000, CA","06037543000","=""06037543000""","12.16"
"06037123301, CA","06037123301","=""06037123301""","2.33"
"06037543702, CA","06037543702","=""06037543702""","6.12"
"06037125200, CA","06037125200","=""06037125200""","3.87"
"06037113213, CA","06037113213","=""06037113213""","4.31"
"06037403802, CA","06037403802","=""06037403802""","6.15"
"06037552900, CA","06037552900","=""06037552900""","6.60"
"06037536000, CA","06037536000","=""06037536000""","16.47"
"06037400302, CA","06037400302","=""06037400302""","5.12"
"06037530004, CA","06037530004","=""06037530004""","4.94"
"06037201401, CA","06037201401","=""06037201401""","6.91"
"06037408706, CA","06037408706","=""06037408706""","2.10"
"06037125100, CA","06037125100","=""06037125100""","1.75"
"06037234600, CA","06037234600","=""06037234600""","11.84"
"06037238400, CA","06037238400","=""06037238400""","9.13"
"06037109400, CA","06037109400","=""06037109400""","4.94"
"06037430102, CA","06037430102","=""06037430102""","8.93"
"06037570203, CA","06037570203","=""06037570203""","8.38"
"06037123901, CA","06037123901","=""06037123901""","1.97"
"06037123800, CA","06037123800","=""06037123800""","2.50"
"06037551700, CA","06037551700","=""06037551700""","2.02"
"06037503801, CA","06037503801","=""06037503801""","5.23"
"06037275311, CA","06037275311","=""06037275311""","2.23"
"06037553801, CA","06037553801","=""06037553801""","8.98"
"06037552800, CA","06037552800","=""06037552800""","10.88"
"06037574601, CA","06037574601","=""06037574601""","N/A"
"06037542401, CA","06037542401","=""06037542401""","3.03"
"06037574201, CA","06037574201","=""06037574201""","0.00"
"06037480400, CA","06037480400","=""06037480400""","3.61"
"06037291130, CA","06037291130","=""06037291130""","9.54"
"06037480012, CA","06037480012","=""06037480012""","7.22"
"06037401102, CA","06037401102","=""06037401102""","8.10"
"06037132300, CA","06037132300","=""06037132300""","11.25"
"06037650800, CA","06037650800","=""06037650800""","3.66"
"06037555001, CA","06037555001","=""06037555001""","3.33"
"06037650603, CA","06037650603","=""06037650603""","2.61"
"06037135114, CA","06037135114","=""06037135114""","5.68"
"06037239202, CA","06037239202","=""06037239202""","17.52"
"06037141302, CA","06037141302","=""06037141302""","0.97"
"06037276400, CA","06037276400","=""06037276400""","0.00"
"06037216300, CA","06037216300","=""06037216300""","1.52"
"06037553901, CA","06037553901","=""06037553901""","5.74"
"06037910403, CA","06037910403","=""06037910403""","13.88"
"06037267600, CA","06037267600","=""06037267600""","9.94"
"06037621400, CA","06037621400","=""06037621400""","2.08"
"06037572600, CA","06037572600","=""06037572600""","6.57"
"06037554002, CA","06037554002","=""06037554002""","5.83"
"06037702002, CA","06037702002","=""06037702002""","1.99"
"06037403406, CA","06037403406","=""06037403406""","1.58"
"06037553502, CA","06037553502","=""06037553502""","7.20"
"06037550202, CA","06037550202","=""06037550202""","6.40"
"06037502602, CA","06037502602","=""06037502602""","8.07"
"06037403901, CA","06037403901","=""06037403901""","5.49"
"06037553000, CA","06037553000","=""06037553000""","3.76"
"06037181600, CA","06037181600","=""06037181600""","0.68"
"06037540101, CA","06037540101","=""06037540101""","9.90"
"06037541603, CA","06037541603","=""06037541603""","15.38"
"06037602801, CA","06037602801","=""06037602801""","9.06"
"06037670407, CA","06037670407","=""06037670407""","0.94"
"06037571102, CA","06037571102","=""06037571102""","2.07"
"06037701802, CA","06037701802","=""06037701802""","0.33"
"06037119800, CA","06037119800","=""06037119800""","5.05"
"06037103102, CA","06037103102","=""06037103102""","5.61"
"06037540102, CA","06037540102","=""06037540102""","5.95"
"06037320000, CA","06037320000","=""06037320000""","N/A"
"06037552301, CA","06037552301","=""06037552301""","2.29"
"06037502901, CA","06037502901","=""06037502901""","4.64"
"06037139001, CA","06037139001","=""06037139001""","1.70"
"06037143500, CA","06037143500","=""06037143500""","3.57"
"06037503502, CA","06037503502","=""06037503502""","2.81"
"06037234000, CA","06037234000","=""06037234000""","7.58"
"06037541100, CA","06037541100","=""06037541100""","6.54"
"06037109300, CA","06037109300","=""06037109300""","2.83"
"06037291210, CA","06037291210","=""06037291210""","11.42"
"06037277100, CA","06037277100","=""06037277100""","0.71"
"06037265700, CA","06037265700","=""06037265700""","3.55"
"06037920036, CA","06037920036","=""06037920036""","3.66"
"06037650602, CA","06037650602","=""06037650602""","3.60"
"06037701601, CA","06037701601","=""06037701601""","1.39"
"06037224020, CA","06037224020","=""06037224020""","17.50"
"06037480102, CA","06037480102","=""06037480102""","3.92"
"06037482701, CA","06037482701","=""06037482701""","5.51"
"06037533806, CA","06037533806","=""06037533806""","15.95"
"06037311300, CA","06037311300","=""06037311300""","3.39"
"06037621002, CA","06037621002","=""06037621002""","0.62"
"06037143602, CA","06037143602","=""06037143602""","0.00"
"06037406412, CA","06037406412","=""06037406412""","4.55"
"06037104320, CA","06037104320","=""06037104320""","6.39"
"06037601302, CA","06037601302","=""06037601302""","7.08"
"06037195500, CA","06037195500","=""06037195500""","3.50"
"06037504101, CA","06037504101","=""06037504101""","6.43"
"06037481401, CA","06037481401","=""06037481401""","12.77"
"06037577100, CA","06037577100","=""06037577100""","1.83"
"06037185202, CA","06037185202","=""06037185202""","1.47"
"06037554515, CA","06037554515","=""06037554515""","4.26"
"06037702201, CA","06037702201","=""06037702201""","1.03"
"06037109500, CA","06037109500","=""06037109500""","5.30"
"06037109200, CA","06037109200","=""06037109200""","1.80"
"06037570301, CA","06037570301","=""06037570301""","12.90"
"06037272100, CA","06037272100","=""06037272100""","1.69"
"06037132900, CA","06037132900","=""06037132900""","9.23"
"06037702801, CA","06037702801","=""06037702801""","1.27"
"06037920111, CA","06037920111","=""06037920111""","0.89"
"06037500404, CA","06037500404","=""06037500404""","9.53"
"06037240700, CA","06037240700","=""06037240700""","15.63"
"06037102103, CA","06037102103","=""06037102103""","1.01"
"06037276500, CA","06037276500","=""06037276500""","0.00"
"06037433501, CA","06037433501","=""06037433501""","23.95"
"06037402101, CA","06037402101","=""06037402101""","7.22"
"06037273902, CA","06037273902","=""06037273902""","0.42"
"06037573100, CA","06037573100","=""06037573100""","9.02"
"06037620002, CA","06037620002","=""06037620002""","0.55"
"06037109604, CA","06037109604","=""06037109604""","2.51"
"06037670406, CA","06037670406","=""06037670406""","1.52"
"06037235100, CA","06037235100","=""06037235100""","4.30"
"06037620001, CA","06037620001","=""06037620001""","1.36"
"06037500600, CA","06037500600","=""06037500600""","6.71"
"06037430902, CA","06037430902","=""06037430902""","7.55"
"06037106405, CA","06037106405","=""06037106405""","10.14"
"06037536103, CA","06037536103","=""06037536103""","16.68"
"06037267200, CA","06037267200","=""06037267200""","4.35"
"06037651002, CA","06037651002","=""06037651002""","2.82"
"06037461502, CA","06037461502","=""06037461502""","9.61"
"06037104703, CA","06037104703","=""06037104703""","5.94"
"06037273100, CA","06037273100","=""06037273100""","0.82"
"06037432101, CA","06037432101","=""06037432101""","3.83"
"06037430901, CA","06037430901","=""06037430901""","5.74"
"06037550601, CA","06037550601","=""06037550601""","9.24"
