"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037602200, CA","06037602200","=""06037602200""","5.24"
"06037703200, CA","06037703200","=""06037703200""","11.32"
"06037408722, CA","06037408722","=""06037408722""","7.84"
"06037106406, CA","06037106406","=""06037106406""","10.12"
"06037920017, CA","06037920017","=""06037920017""","7.03"
"06037137502, CA","06037137502","=""06037137502""","4.63"
"06037910712, CA","06037910712","=""06037910712""","8.29"
"06037408301, CA","06037408301","=""06037408301""","14.61"
"06037571300, CA","06037571300","=""06037571300""","6.25"
"06037113232, CA","06037113232","=""06037113232""","3.57"
"06037301000, CA","06037301000","=""06037301000""","6.38"
"06037431600, CA","06037431600","=""06037431600""","8.01"
"06037117302, CA","06037117302","=""06037117302""","5.96"
"06037553100, CA","06037553100","=""06037553100""","7.75"
"06037406500, CA","06037406500","=""06037406500""","7.17"
"06037295103, CA","06037295103","=""06037295103""","4.66"
"06037121210, CA","06037121210","=""06037121210""","9.66"
"06037431502, CA","06037431502","=""06037431502""","5.40"
"06037103101, CA","06037103101","=""06037103101""","5.80"
"06037602509, CA","06037602509","=""06037602509""","12.71"
"06037121010, CA","06037121010","=""06037121010""","4.78"
"06037402403, CA","06037402403","=""06037402403""","6.76"
"06037553601, CA","06037553601","=""06037553601""","11.46"
"06037106020, CA","06037106020","=""06037106020""","10.20"
"06037910502, CA","06037910502","=""06037910502""","17.53"
"06037401602, CA","06037401602","=""06037401602""","7.27"
"06037910602, CA","06037910602","=""06037910602""","9.65"
"06037910713, CA","06037910713","=""06037910713""","20.34"
"06037300400, CA","06037300400","=""06037300400""","9.35"
"06037910715, CA","06037910715","=""06037910715""","10.59"
"06037111301, CA","06037111301","=""06037111301""","11.94"
"06037141400, CA","06037141400","=""06037141400""","7.04"
"06037501300, CA","06037501300","=""06037501300""","6.87"
"06037137201, CA","06037137201","=""06037137201""","9.46"
"06037407702, CA","06037407702","=""06037407702""","8.26"
"06037702400, CA","06037702400","=""06037702400""","5.29"
"06037401701, CA","06037401701","=""06037401701""","8.50"
"06037650701, CA","06037650701","=""06037650701""","2.57"
"06037430101, CA","06037430101","=""06037430101""","9.54"
"06037408505, CA","06037408505","=""06037408505""","5.46"
"06037570502, CA","06037570502","=""06037570502""","11.79"
"06037540800, CA","06037540800","=""06037540800""","12.95"
"06037432300, CA","06037432300","=""06037432300""","6.12"
"06037650902, CA","06037650902","=""06037650902""","7.46"
"06037310501, CA","06037310501","=""06037310501""","8.12"
"06037400900, CA","06037400900","=""06037400900""","5.90"
"06037406601, CA","06037406601","=""06037406601""","7.55"
"06037461100, CA","06037461100","=""06037461100""","5.82"
"06037536104, CA","06037536104","=""06037536104""","12.79"
"06037461300, CA","06037461300","=""06037461300""","2.60"
"06037543322, CA","06037543322","=""06037543322""","7.06"
"06037430302, CA","06037430302","=""06037430302""","8.52"
"06037201402, CA","06037201402","=""06037201402""","12.55"
"06037401603, CA","06037401603","=""06037401603""","5.54"
"06037701201, CA","06037701201","=""06037701201""","4.45"
"06037602600, CA","06037602600","=""06037602600""","10.20"
"06037600802, CA","06037600802","=""06037600802""","7.54"
"06037463400, CA","06037463400","=""06037463400""","9.48"
"06037602302, CA","06037602302","=""06037602302""","3.47"
"06037571900, CA","06037571900","=""06037571900""","11.10"
"06037503401, CA","06037503401","=""06037503401""","6.02"
"06037502601, CA","06037502601","=""06037502601""","12.19"
"06037502100, CA","06037502100","=""06037502100""","7.16"
"06037408705, CA","06037408705","=""06037408705""","8.08"
"06037500800, CA","06037500800","=""06037500800""","12.80"
"06037111201, CA","06037111201","=""06037111201""","7.40"
"06037553200, CA","06037553200","=""06037553200""","8.50"
"06037800331, CA","06037800331","=""06037800331""","0.00"
"06037115401, CA","06037115401","=""06037115401""","13.61"
"06037320100, CA","06037320100","=""06037320100""","13.68"
"06037300200, CA","06037300200","=""06037300200""","5.96"
"06037406000, CA","06037406000","=""06037406000""","6.83"
"06037401203, CA","06037401203","=""06037401203""","8.74"
"06037402904, CA","06037402904","=""06037402904""","18.92"
"06037189300, CA","06037189300","=""06037189300""","7.15"
"06037406200, CA","06037406200","=""06037406200""","7.89"
"06037403721, CA","06037403721","=""06037403721""","4.30"
"06037701801, CA","06037701801","=""06037701801""","6.82"
"06037405800, CA","06037405800","=""06037405800""","8.78"
"06037195100, CA","06037195100","=""06037195100""","5.67"
"06037571701, CA","06037571701","=""06037571701""","12.58"
"06037463900, CA","06037463900","=""06037463900""","3.73"
"06037650101, CA","06037650101","=""06037650101""","4.63"
"06037920045, CA","06037920045","=""06037920045""","5.14"
"06037403801, CA","06037403801","=""06037403801""","10.60"
"06037134800, CA","06037134800","=""06037134800""","7.64"
"06037432102, CA","06037432102","=""06037432102""","4.73"
"06037111202, CA","06037111202","=""06037111202""","11.57"
"06037432700, CA","06037432700","=""06037432700""","15.46"
"06037264000, CA","06037264000","=""06037264000""","2.73"
"06037650300, CA","06037650300","=""06037650300""","5.24"
"06037430802, CA","06037430802","=""06037430802""","5.25"
"06037405500, CA","06037405500","=""06037405500""","10.47"
"06037540000, CA","06037540000","=""06037540000""","8.07"
"06037402902, CA","06037402902","=""06037402902""","16.33"
"06037461000, CA","06037461000","=""06037461000""","5.83"
"06037577000, CA","06037577000","=""06037577000""","9.88"
"06037481402, CA","06037481402","=""06037481402""","7.64"
"06037481901, CA","06037481901","=""06037481901""","4.68"
"06037574100, CA","06037574100","=""06037574100""","4.88"
"06037920041, CA","06037920041","=""06037920041""","9.13"
"06037117202, CA","06037117202","=""06037117202""","2.95"
"06037900806, CA","06037900806","=""06037900806""","6.46"
"06037111400, CA","06037111400","=""06037111400""","5.30"
"06037651402, CA","06037651402","=""06037651402""","4.54"
"06037573700, CA","06037573700","=""06037573700""","4.15"
"06037401704, CA","06037401704","=""06037401704""","9.35"
"06037702502, CA","06037702502","=""06037702502""","2.98"
"06037574000, CA","06037574000","=""06037574000""","2.05"
"06037402801, CA","06037402801","=""06037402801""","25.93"
"06037117303, CA","06037117303","=""06037117303""","11.25"
"06037570901, CA","06037570901","=""06037570901""","8.94"
"06037403722, CA","06037403722","=""06037403722""","5.32"
"06037463000, CA","06037463000","=""06037463000""","4.10"
"06037530202, CA","06037530202","=""06037530202""","5.89"
"06037554518, CA","06037554518","=""06037554518""","8.32"
"06037405302, CA","06037405302","=""06037405302""","12.10"
"06037275302, CA","06037275302","=""06037275302""","6.48"
"06037113322, CA","06037113322","=""06037113322""","9.87"
"06037408800, CA","06037408800","=""06037408800""","18.89"
"06037431400, CA","06037431400","=""06037431400""","11.51"
"06037143100, CA","06037143100","=""06037143100""","7.16"
"06037433200, CA","06037433200","=""06037433200""","7.00"
"06037602301, CA","06037602301","=""06037602301""","6.84"
"06037117404, CA","06037117404","=""06037117404""","12.33"
"06037900606, CA","06037900606","=""06037900606""","16.23"
"06037553802, CA","06037553802","=""06037553802""","7.81"
"06037135202, CA","06037135202","=""06037135202""","6.41"
"06037431001, CA","06037431001","=""06037431001""","3.85"
"06037570701, CA","06037570701","=""06037570701""","3.16"
"06037143400, CA","06037143400","=""06037143400""","3.29"
"06037502200, CA","06037502200","=""06037502200""","14.08"
"06037408629, CA","06037408629","=""06037408629""","6.05"
"06037554900, CA","06037554900","=""06037554900""","10.21"
"06037115202, CA","06037115202","=""06037115202""","7.32"
"06037406800, CA","06037406800","=""06037406800""","3.13"
"06037920112, CA","06037920112","=""06037920112""","6.90"
"06037571000, CA","06037571000","=""06037571000""","2.92"
"06037294701, CA","06037294701","=""06037294701""","22.46"
"06037463700, CA","06037463700","=""06037463700""","10.07"
"06037900607, CA","06037900607","=""06037900607""","6.98"
"06037206050, CA","06037206050","=""06037206050""","10.31"
"06037651201, CA","06037651201","=""06037651201""","3.73"
"06037403402, CA","06037403402","=""06037403402""","6.50"
"06037128400, CA","06037128400","=""06037128400""","7.37"
"06037408303, CA","06037408303","=""06037408303""","6.75"
"06037554519, CA","06037554519","=""06037554519""","3.07"
"06037120300, CA","06037120300","=""06037120300""","4.30"
"06037401901, CA","06037401901","=""06037401901""","3.15"
"06037320300, CA","06037320300","=""06037320300""","9.83"
"06037503702, CA","06037503702","=""06037503702""","4.68"
"06037480802, CA","06037480802","=""06037480802""","8.07"
"06037403702, CA","06037403702","=""06037403702""","8.93"
"06037430801, CA","06037430801","=""06037430801""","2.94"
"06037122200, CA","06037122200","=""06037122200""","8.76"
"06037311100, CA","06037311100","=""06037311100""","12.76"
"06037405001, CA","06037405001","=""06037405001""","9.36"
"06037119002, CA","06037119002","=""06037119002""","8.58"
"06037404701, CA","06037404701","=""06037404701""","11.15"
"06037201700, CA","06037201700","=""06037201700""","7.83"
"06037121900, CA","06037121900","=""06037121900""","2.02"
"06037264302, CA","06037264302","=""06037264302""","3.98"
"06037186302, CA","06037186302","=""06037186302""","10.17"
"06037552200, CA","06037552200","=""06037552200""","11.00"
"06037135102, CA","06037135102","=""06037135102""","5.62"
"06037463500, CA","06037463500","=""06037463500""","6.58"
"06037573403, CA","06037573403","=""06037573403""","1.75"
"06037551101, CA","06037551101","=""06037551101""","13.97"
"06037402002, CA","06037402002","=""06037402002""","4.57"
"06037551102, CA","06037551102","=""06037551102""","16.15"
"06037462700, CA","06037462700","=""06037462700""","4.34"
"06037621326, CA","06037621326","=""06037621326""","3.01"
"06037104704, CA","06037104704","=""06037104704""","10.84"
"06037920336, CA","06037920336","=""06037920336""","9.55"
"06037543503, CA","06037543503","=""06037543503""","9.42"
"06037102104, CA","06037102104","=""06037102104""","9.59"
"06037461600, CA","06037461600","=""06037461600""","7.22"
"06037128702, CA","06037128702","=""06037128702""","3.33"
"06037300502, CA","06037300502","=""06037300502""","9.96"
"06037920337, CA","06037920337","=""06037920337""","13.94"
"06037670403, CA","06037670403","=""06037670403""","3.93"
"06037238000, CA","06037238000","=""06037238000""","14.01"
"06037143300, CA","06037143300","=""06037143300""","3.63"
"06037570202, CA","06037570202","=""06037570202""","2.42"
"06037203500, CA","06037203500","=""06037203500""","14.53"
"06037621104, CA","06037621104","=""06037621104""","1.94"
"06037115301, CA","06037115301","=""06037115301""","8.77"
"06037406102, CA","06037406102","=""06037406102""","12.74"
"06037550100, CA","06037550100","=""06037550100""","5.78"
"06037482522, CA","06037482522","=""06037482522""","5.28"
"06037262501, CA","06037262501","=""06037262501""","4.58"
"06037910505, CA","06037910505","=""06037910505""","13.64"
"06037463200, CA","06037463200","=""06037463200""","6.58"
"06037621201, CA","06037621201","=""06037621201""","5.34"
"06037320202, CA","06037320202","=""06037320202""","12.69"
"06037543602, CA","06037543602","=""06037543602""","8.24"
"06037137301, CA","06037137301","=""06037137301""","4.18"
"06037278001, CA","06037278001","=""06037278001""","3.93"
"06037910504, CA","06037910504","=""06037910504""","14.50"
"06037132002, CA","06037132002","=""06037132002""","0.72"
"06037650001, CA","06037650001","=""06037650001""","6.78"
"06037543304, CA","06037543304","=""06037543304""","6.37"
"06037301400, CA","06037301400","=""06037301400""","6.17"
"06037265301, CA","06037265301","=""06037265301""","N/A"
"06037502301, CA","06037502301","=""06037502301""","14.76"
"06037109700, CA","06037109700","=""06037109700""","5.86"
"06037402903, CA","06037402903","=""06037402903""","17.31"
"06037503402, CA","06037503402","=""06037503402""","6.41"
"06037481202, CA","06037481202","=""06037481202""","4.24"
"06037406602, CA","06037406602","=""06037406602""","6.11"
"06037106642, CA","06037106642","=""06037106642""","8.70"
"06037134303, CA","06037134303","=""06037134303""","9.81"
"06037134423, CA","06037134423","=""06037134423""","3.86"
"06037433801, CA","06037433801","=""06037433801""","17.39"
"06037601401, CA","06037601401","=""06037601401""","7.23"
"06037551900, CA","06037551900","=""06037551900""","12.92"
"06037433101, CA","06037433101","=""06037433101""","10.03"
"06037199000, CA","06037199000","=""06037199000""","7.93"
"06037542402, CA","06037542402","=""06037542402""","7.12"
"06037111302, CA","06037111302","=""06037111302""","7.77"
"06037621301, CA","06037621301","=""06037621301""","4.76"
"06037294120, CA","06037294120","=""06037294120""","28.06"
"06037127210, CA","06037127210","=""06037127210""","12.44"
"06037482521, CA","06037482521","=""06037482521""","9.17"
"06037400602, CA","06037400602","=""06037400602""","9.85"
"06037572201, CA","06037572201","=""06037572201""","4.62"
"06037572202, CA","06037572202","=""06037572202""","16.54"
"06037503302, CA","06037503302","=""06037503302""","9.57"
"06037530400, CA","06037530400","=""06037530400""","12.80"
"06037503501, CA","06037503501","=""06037503501""","5.93"
"06037504002, CA","06037504002","=""06037504002""","8.50"
"06037123601, CA","06037123601","=""06037123601""","7.75"
"06037135201, CA","06037135201","=""06037135201""","0.67"
"06037113422, CA","06037113422","=""06037113422""","9.66"
"06037480201, CA","06037480201","=""06037480201""","4.26"
"06037554802, CA","06037554802","=""06037554802""","11.49"
"06037115103, CA","06037115103","=""06037115103""","0.00"
"06037571504, CA","06037571504","=""06037571504""","10.01"
"06037540300, CA","06037540300","=""06037540300""","14.76"
"06037551300, CA","06037551300","=""06037551300""","11.09"
"06037573800, CA","06037573800","=""06037573800""","6.25"
"06037570001, CA","06037570001","=""06037570001""","7.10"
"06037133100, CA","06037133100","=""06037133100""","11.81"
"06037651222, CA","06037651222","=""06037651222""","2.79"
"06037570402, CA","06037570402","=""06037570402""","3.25"
"06037480202, CA","06037480202","=""06037480202""","4.86"
"06037920331, CA","06037920331","=""06037920331""","0.96"
"06037104310, CA","06037104310","=""06037104310""","5.06"
"06037910501, CA","06037910501","=""06037910501""","19.61"
"06037432402, CA","06037432402","=""06037432402""","6.74"
"06037402702, CA","06037402702","=""06037402702""","18.66"
"06037554514, CA","06037554514","=""06037554514""","11.36"
"06037311500, CA","06037311500","=""06037311500""","10.78"
"06037900804, CA","06037900804","=""06037900804""","8.59"
"06037407900, CA","06037407900","=""06037407900""","6.93"
"06037203300, CA","06037203300","=""06037203300""","11.11"
"06037603900, CA","06037603900","=""06037603900""","11.60"
"06037670405, CA","06037670405","=""06037670405""","4.88"
"06037577604, CA","06037577604","=""06037577604""","5.17"
"06037431800, CA","06037431800","=""06037431800""","7.88"
"06037670003, CA","06037670003","=""06037670003""","12.00"
"06037106646, CA","06037106646","=""06037106646""","10.13"
"06037408631, CA","06037408631","=""06037408631""","10.03"
"06037431200, CA","06037431200","=""06037431200""","16.31"
"06037570501, CA","06037570501","=""06037570501""","5.42"
"06037403305, CA","06037403305","=""06037403305""","3.73"
"06037401002, CA","06037401002","=""06037401002""","10.04"
"06037555102, CA","06037555102","=""06037555102""","9.37"
"06037402502, CA","06037402502","=""06037402502""","23.67"
"06037550602, CA","06037550602","=""06037550602""","8.80"
"06037134201, CA","06037134201","=""06037134201""","7.58"
"06037543603, CA","06037543603","=""06037543603""","4.05"
"06037501002, CA","06037501002","=""06037501002""","13.24"
"06037205120, CA","06037205120","=""06037205120""","10.34"
"06037551501, CA","06037551501","=""06037551501""","9.47"
"06037189702, CA","06037189702","=""06037189702""","0.00"
"06037271300, CA","06037271300","=""06037271300""","5.49"
"06037402001, CA","06037402001","=""06037402001""","5.25"
"06037552100, CA","06037552100","=""06037552100""","14.06"
"06037700801, CA","06037700801","=""06037700801""","3.80"
"06037407200, CA","06037407200","=""06037407200""","7.55"
"06037404401, CA","06037404401","=""06037404401""","10.97"
"06037401001, CA","06037401001","=""06037401001""","7.90"
"06037131020, CA","06037131020","=""06037131020""","11.26"
"06037189400, CA","06037189400","=""06037189400""","5.28"
"06037540501, CA","06037540501","=""06037540501""","11.11"
"06037554516, CA","06037554516","=""06037554516""","8.53"
"06037106113, CA","06037106113","=""06037106113""","5.70"
"06037181300, CA","06037181300","=""06037181300""","11.30"
"06037670100, CA","06037670100","=""06037670100""","10.44"
"06037113235, CA","06037113235","=""06037113235""","11.67"
"06037206010, CA","06037206010","=""06037206010""","11.69"
"06037297000, CA","06037297000","=""06037297000""","1.88"
"06037532101, CA","06037532101","=""06037532101""","13.19"
"06037572001, CA","06037572001","=""06037572001""","10.58"
"06037701000, CA","06037701000","=""06037701000""","2.22"
"06037408504, CA","06037408504","=""06037408504""","2.59"
"06037501200, CA","06037501200","=""06037501200""","11.43"
"06037481103, CA","06037481103","=""06037481103""","4.78"
"06037500900, CA","06037500900","=""06037500900""","7.33"
"06037408003, CA","06037408003","=""06037408003""","7.76"
"06037310400, CA","06037310400","=""06037310400""","6.92"
"06037651001, CA","06037651001","=""06037651001""","7.06"
"06037109800, CA","06037109800","=""06037109800""","11.85"
"06037432601, CA","06037432601","=""06037432601""","7.66"
"06037551202, CA","06037551202","=""06037551202""","7.84"
"06037541700, CA","06037541700","=""06037541700""","8.31"
"06037197410, CA","06037197410","=""06037197410""","6.10"
"06037930401, CA","06037930401","=""06037930401""","N/A"
"06037269500, CA","06037269500","=""06037269500""","4.06"
"06037404801, CA","06037404801","=""06037404801""","19.80"
"06037650702, CA","06037650702","=""06037650702""","6.13"
"06037503601, CA","06037503601","=""06037503601""","8.23"
"06037406101, CA","06037406101","=""06037406101""","10.12"
"06037501700, CA","06037501700","=""06037501700""","3.43"
"06037577602, CA","06037577602","=""06037577602""","5.45"
"06037432202, CA","06037432202","=""06037432202""","6.62"
"06037504001, CA","06037504001","=""06037504001""","6.26"
"06037910606, CA","06037910606","=""06037910606""","10.69"
"06037542200, CA","06037542200","=""06037542200""","11.61"
"06037115201, CA","06037115201","=""06037115201""","5.41"
"06037501900, CA","06037501900","=""06037501900""","2.66"
"06037408624, CA","06037408624","=""06037408624""","6.34"
"06037132102, CA","06037132102","=""06037132102""","11.08"
"06037302401, CA","06037302401","=""06037302401""","18.18"
"06037552700, CA","06037552700","=""06037552700""","11.69"
"06037571502, CA","06037571502","=""06037571502""","6.31"
"06037552602, CA","06037552602","=""06037552602""","15.53"
"06037621324, CA","06037621324","=""06037621324""","4.54"
"06037431002, CA","06037431002","=""06037431002""","9.44"
"06037575500, CA","06037575500","=""06037575500""","0.00"
"06037910605, CA","06037910605","=""06037910605""","8.79"
"06037124700, CA","06037124700","=""06037124700""","2.67"
"06037900608, CA","06037900608","=""06037900608""","10.87"
"06037620601, CA","06037620601","=""06037620601""","8.50"
"06037405702, CA","06037405702","=""06037405702""","11.75"
"06037405201, CA","06037405201","=""06037405201""","20.99"
"06037920023, CA","06037920023","=""06037920023""","5.18"
"06037480002, CA","06037480002","=""06037480002""","3.81"
"06037124000, CA","06037124000","=""06037124000""","6.52"
"06037577501, CA","06037577501","=""06037577501""","8.13"
"06037532001, CA","06037532001","=""06037532001""","27.06"
"06037702700, CA","06037702700","=""06037702700""","5.04"
"06037620101, CA","06037620101","=""06037620101""","4.21"
"06037404100, CA","06037404100","=""06037404100""","7.41"
"06037541300, CA","06037541300","=""06037541300""","12.90"
"06037186100, CA","06037186100","=""06037186100""","9.88"
"06037574202, CA","06037574202","=""06037574202""","8.68"
"06037543802, CA","06037543802","=""06037543802""","12.78"
"06037405400, CA","06037405400","=""06037405400""","10.29"
"06037543903, CA","06037543903","=""06037543903""","7.08"
"06037301100, CA","06037301100","=""06037301100""","5.54"
"06037620602, CA","06037620602","=""06037620602""","6.32"
"06037121222, CA","06037121222","=""06037121222""","8.87"
"06037702501, CA","06037702501","=""06037702501""","4.26"
"06037503201, CA","06037503201","=""06037503201""","3.84"
"06037128910, CA","06037128910","=""06037128910""","7.68"
"06037236400, CA","06037236400","=""06037236400""","5.70"
"06037117301, CA","06037117301","=""06037117301""","6.64"
"06037500402, CA","06037500402","=""06037500402""","6.64"
"06037402301, CA","06037402301","=""06037402301""","15.78"
"06037300501, CA","06037300501","=""06037300501""","4.55"
"06037574901, CA","06037574901","=""06037574901""","3.61"
"06037502004, CA","06037502004","=""06037502004""","6.85"
"06037602802, CA","06037602802","=""06037602802""","13.65"
"06037900505, CA","06037900505","=""06037900505""","10.60"
"06037900506, CA","06037900506","=""06037900506""","14.90"
"06037650502, CA","06037650502","=""06037650502""","6.70"
"06037311000, CA","06037311000","=""06037311000""","10.53"
"06037132700, CA","06037132700","=""06037132700""","11.18"
"06037503000, CA","06037503000","=""06037503000""","7.31"
"06037131900, CA","06037131900","=""06037131900""","6.64"
"06037404000, CA","06037404000","=""06037404000""","5.70"
"06037405900, CA","06037405900","=""06037405900""","9.58"
"06037530102, CA","06037530102","=""06037530102""","11.76"
"06037131800, CA","06037131800","=""06037131800""","8.49"
"06037503802, CA","06037503802","=""06037503802""","11.96"
"06037462400, CA","06037462400","=""06037462400""","4.11"
"06037620702, CA","06037620702","=""06037620702""","3.29"
"06037571101, CA","06037571101","=""06037571101""","2.18"
"06037404703, CA","06037404703","=""06037404703""","13.62"
"06037700400, CA","06037700400","=""06037700400""","2.93"
"06037602402, CA","06037602402","=""06037602402""","7.24"
"06037119700, CA","06037119700","=""06037119700""","4.76"
"06037554517, CA","06037554517","=""06037554517""","6.63"
"06037460302, CA","06037460302","=""06037460302""","9.20"
"06037134302, CA","06037134302","=""06037134302""","10.23"
"06037402804, CA","06037402804","=""06037402804""","17.09"
"06037543000, CA","06037543000","=""06037543000""","6.25"
"06037123301, CA","06037123301","=""06037123301""","6.14"
"06037543702, CA","06037543702","=""06037543702""","13.47"
"06037125200, CA","06037125200","=""06037125200""","6.29"
"06037113213, CA","06037113213","=""06037113213""","5.49"
"06037403802, CA","06037403802","=""06037403802""","10.01"
"06037552900, CA","06037552900","=""06037552900""","12.73"
"06037536000, CA","06037536000","=""06037536000""","17.16"
"06037400302, CA","06037400302","=""06037400302""","9.00"
"06037530004, CA","06037530004","=""06037530004""","10.24"
"06037201401, CA","06037201401","=""06037201401""","13.76"
"06037408706, CA","06037408706","=""06037408706""","17.82"
"06037125100, CA","06037125100","=""06037125100""","2.24"
"06037234600, CA","06037234600","=""06037234600""","9.79"
"06037238400, CA","06037238400","=""06037238400""","6.03"
"06037109400, CA","06037109400","=""06037109400""","10.78"
"06037430102, CA","06037430102","=""06037430102""","5.79"
"06037570203, CA","06037570203","=""06037570203""","13.03"
"06037123901, CA","06037123901","=""06037123901""","8.35"
"06037123800, CA","06037123800","=""06037123800""","4.34"
"06037551700, CA","06037551700","=""06037551700""","12.38"
"06037503801, CA","06037503801","=""06037503801""","6.94"
"06037275311, CA","06037275311","=""06037275311""","8.04"
"06037553801, CA","06037553801","=""06037553801""","16.57"
"06037552800, CA","06037552800","=""06037552800""","6.64"
"06037574601, CA","06037574601","=""06037574601""","N/A"
"06037542401, CA","06037542401","=""06037542401""","7.77"
"06037574201, CA","06037574201","=""06037574201""","3.10"
"06037480400, CA","06037480400","=""06037480400""","9.83"
"06037291130, CA","06037291130","=""06037291130""","12.08"
"06037480012, CA","06037480012","=""06037480012""","13.10"
"06037401102, CA","06037401102","=""06037401102""","4.62"
"06037132300, CA","06037132300","=""06037132300""","16.20"
"06037650800, CA","06037650800","=""06037650800""","2.86"
"06037555001, CA","06037555001","=""06037555001""","12.84"
"06037650603, CA","06037650603","=""06037650603""","8.45"
"06037135114, CA","06037135114","=""06037135114""","11.33"
"06037239202, CA","06037239202","=""06037239202""","17.43"
"06037141302, CA","06037141302","=""06037141302""","3.36"
"06037276400, CA","06037276400","=""06037276400""","7.06"
"06037216300, CA","06037216300","=""06037216300""","8.42"
"06037553901, CA","06037553901","=""06037553901""","5.99"
"06037910403, CA","06037910403","=""06037910403""","14.77"
"06037267600, CA","06037267600","=""06037267600""","10.55"
"06037621400, CA","06037621400","=""06037621400""","3.46"
"06037572600, CA","06037572600","=""06037572600""","21.12"
"06037554002, CA","06037554002","=""06037554002""","9.70"
"06037702002, CA","06037702002","=""06037702002""","5.89"
"06037403406, CA","06037403406","=""06037403406""","7.90"
"06037553502, CA","06037553502","=""06037553502""","16.07"
"06037550202, CA","06037550202","=""06037550202""","4.68"
"06037502602, CA","06037502602","=""06037502602""","6.80"
"06037403901, CA","06037403901","=""06037403901""","7.14"
"06037553000, CA","06037553000","=""06037553000""","5.92"
"06037181600, CA","06037181600","=""06037181600""","8.45"
"06037540101, CA","06037540101","=""06037540101""","16.07"
"06037541603, CA","06037541603","=""06037541603""","11.39"
"06037602801, CA","06037602801","=""06037602801""","15.72"
"06037670407, CA","06037670407","=""06037670407""","6.95"
"06037571102, CA","06037571102","=""06037571102""","2.68"
"06037701802, CA","06037701802","=""06037701802""","6.77"
"06037119800, CA","06037119800","=""06037119800""","12.58"
"06037103102, CA","06037103102","=""06037103102""","12.63"
"06037540102, CA","06037540102","=""06037540102""","5.89"
"06037320000, CA","06037320000","=""06037320000""","N/A"
"06037552301, CA","06037552301","=""06037552301""","7.76"
"06037502901, CA","06037502901","=""06037502901""","12.05"
"06037139001, CA","06037139001","=""06037139001""","6.58"
"06037143500, CA","06037143500","=""06037143500""","5.49"
"06037503502, CA","06037503502","=""06037503502""","6.52"
"06037234000, CA","06037234000","=""06037234000""","13.58"
"06037541100, CA","06037541100","=""06037541100""","19.61"
"06037109300, CA","06037109300","=""06037109300""","4.78"
"06037291210, CA","06037291210","=""06037291210""","21.33"
"06037277100, CA","06037277100","=""06037277100""","2.31"
"06037265700, CA","06037265700","=""06037265700""","6.31"
"06037920036, CA","06037920036","=""06037920036""","12.50"
"06037650602, CA","06037650602","=""06037650602""","3.74"
"06037701601, CA","06037701601","=""06037701601""","5.43"
"06037224020, CA","06037224020","=""06037224020""","23.22"
"06037480102, CA","06037480102","=""06037480102""","5.51"
"06037482701, CA","06037482701","=""06037482701""","5.81"
"06037533806, CA","06037533806","=""06037533806""","24.50"
"06037311300, CA","06037311300","=""06037311300""","6.31"
"06037621002, CA","06037621002","=""06037621002""","1.87"
"06037143602, CA","06037143602","=""06037143602""","4.67"
"06037406412, CA","06037406412","=""06037406412""","5.75"
"06037104320, CA","06037104320","=""06037104320""","8.79"
"06037601302, CA","06037601302","=""06037601302""","20.68"
"06037195500, CA","06037195500","=""06037195500""","12.54"
"06037504101, CA","06037504101","=""06037504101""","14.44"
"06037481401, CA","06037481401","=""06037481401""","10.26"
"06037577100, CA","06037577100","=""06037577100""","7.09"
"06037185202, CA","06037185202","=""06037185202""","9.63"
"06037554515, CA","06037554515","=""06037554515""","3.44"
"06037702201, CA","06037702201","=""06037702201""","2.79"
"06037109500, CA","06037109500","=""06037109500""","6.74"
"06037109200, CA","06037109200","=""06037109200""","7.63"
"06037570301, CA","06037570301","=""06037570301""","15.39"
"06037272100, CA","06037272100","=""06037272100""","5.07"
"06037132900, CA","06037132900","=""06037132900""","9.53"
"06037702801, CA","06037702801","=""06037702801""","3.76"
"06037920111, CA","06037920111","=""06037920111""","2.57"
"06037500404, CA","06037500404","=""06037500404""","9.75"
"06037240700, CA","06037240700","=""06037240700""","14.69"
"06037102103, CA","06037102103","=""06037102103""","10.26"
"06037276500, CA","06037276500","=""06037276500""","5.92"
"06037433501, CA","06037433501","=""06037433501""","19.93"
"06037402101, CA","06037402101","=""06037402101""","8.45"
"06037273902, CA","06037273902","=""06037273902""","6.59"
"06037573100, CA","06037573100","=""06037573100""","9.23"
"06037620002, CA","06037620002","=""06037620002""","4.90"
"06037109604, CA","06037109604","=""06037109604""","3.05"
"06037670406, CA","06037670406","=""06037670406""","4.09"
"06037235100, CA","06037235100","=""06037235100""","10.45"
"06037620001, CA","06037620001","=""06037620001""","4.79"
"06037500600, CA","06037500600","=""06037500600""","7.88"
"06037430902, CA","06037430902","=""06037430902""","11.07"
"06037106405, CA","06037106405","=""06037106405""","10.56"
"06037536103, CA","06037536103","=""06037536103""","17.35"
"06037267200, CA","06037267200","=""06037267200""","8.30"
"06037651002, CA","06037651002","=""06037651002""","6.34"
"06037461502, CA","06037461502","=""06037461502""","8.72"
"06037104703, CA","06037104703","=""06037104703""","15.56"
"06037273100, CA","06037273100","=""06037273100""","2.30"
"06037432101, CA","06037432101","=""06037432101""","6.25"
"06037430901, CA","06037430901","=""06037430901""","8.41"
"06037550601, CA","06037550601","=""06037550601""","9.65"
