"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with a cellular data plan and no"
"06037121102, CA","06037121102","=""06037121102""","5.67"
"06037532303, CA","06037532303","=""06037532303""","14.49"
"06037400204, CA","06037400204","=""06037400204""","3.48"
"06037920116, CA","06037920116","=""06037920116""","0.91"
"06037460700, CA","06037460700","=""06037460700""","3.40"
"06037103200, CA","06037103200","=""06037103200""","6.15"
"06037980014, CA","06037980014","=""06037980014""","N/A"
"06037980018, CA","06037980018","=""06037980018""","N/A"
"06037113211, CA","06037113211","=""06037113211""","7.21"
"06037500201, CA","06037500201","=""06037500201""","5.39"
"06037403312, CA","06037403312","=""06037403312""","10.17"
"06037980021, CA","06037980021","=""06037980021""","N/A"
"06037300901, CA","06037300901","=""06037300901""","2.59"
"06037502700, CA","06037502700","=""06037502700""","9.70"
"06037980002, CA","06037980002","=""06037980002""","N/A"
"06037910707, CA","06037910707","=""06037910707""","12.52"
"06037460000, CA","06037460000","=""06037460000""","5.43"
"06037460800, CA","06037460800","=""06037460800""","4.35"
"06037670702, CA","06037670702","=""06037670702""","4.06"
"06037403321, CA","06037403321","=""06037403321""","5.83"
"06037261101, CA","06037261101","=""06037261101""","5.14"
"06037433802, CA","06037433802","=""06037433802""","7.76"
"06037504102, CA","06037504102","=""06037504102""","N/A"
"06037920031, CA","06037920031","=""06037920031""","10.38"
"06037500202, CA","06037500202","=""06037500202""","4.45"
"06037101400, CA","06037101400","=""06037101400""","9.30"
"06037980022, CA","06037980022","=""06037980022""","N/A"
"06037464100, CA","06037464100","=""06037464100""","6.77"
"06037501501, CA","06037501501","=""06037501501""","6.15"
"06037300301, CA","06037300301","=""06037300301""","4.71"
"06037103300, CA","06037103300","=""06037103300""","2.25"
"06037300800, CA","06037300800","=""06037300800""","9.55"
"06037139802, CA","06037139802","=""06037139802""","3.52"
"06037401800, CA","06037401800","=""06037401800""","4.82"
"06037108202, CA","06037108202","=""06037108202""","6.46"
"06037262604, CA","06037262604","=""06037262604""","7.99"
"06037920015, CA","06037920015","=""06037920015""","4.87"
