"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with no internet access, between"
"06037532303, CA","06037532303","=""06037532303""","23.00"
"06037400204, CA","06037400204","=""06037400204""","1.72"
"06037920116, CA","06037920116","=""06037920116""","3.11"
"06037460700, CA","06037460700","=""06037460700""","3.72"
"06037103200, CA","06037103200","=""06037103200""","18.78"
"06037980014, CA","06037980014","=""06037980014""","N/A"
"06037980018, CA","06037980018","=""06037980018""","N/A"
"06037113211, CA","06037113211","=""06037113211""","3.58"
"06037500201, CA","06037500201","=""06037500201""","7.11"
"06037403312, CA","06037403312","=""06037403312""","8.18"
"06037980021, CA","06037980021","=""06037980021""","N/A"
"06037300901, CA","06037300901","=""06037300901""","6.85"
"06037502700, CA","06037502700","=""06037502700""","13.50"
"06037980002, CA","06037980002","=""06037980002""","N/A"
"06037910707, CA","06037910707","=""06037910707""","10.48"
"06037460000, CA","06037460000","=""06037460000""","3.80"
"06037460800, CA","06037460800","=""06037460800""","5.19"
"06037670702, CA","06037670702","=""06037670702""","2.72"
"06037403321, CA","06037403321","=""06037403321""","4.13"
"06037261101, CA","06037261101","=""06037261101""","2.46"
"06037433802, CA","06037433802","=""06037433802""","20.62"
"06037504102, CA","06037504102","=""06037504102""","N/A"
"06037920031, CA","06037920031","=""06037920031""","14.19"
"06037500202, CA","06037500202","=""06037500202""","7.05"
"06037101400, CA","06037101400","=""06037101400""","7.23"
"06037980022, CA","06037980022","=""06037980022""","N/A"
"06037464100, CA","06037464100","=""06037464100""","6.06"
"06037501501, CA","06037501501","=""06037501501""","5.68"
"06037300301, CA","06037300301","=""06037300301""","4.90"
"06037103300, CA","06037103300","=""06037103300""","9.94"
"06037300800, CA","06037300800","=""06037300800""","4.72"
"06037139802, CA","06037139802","=""06037139802""","6.32"
"06037401800, CA","06037401800","=""06037401800""","3.84"
"06037108202, CA","06037108202","=""06037108202""","3.05"
"06037262604, CA","06037262604","=""06037262604""","4.22"
"06037920015, CA","06037920015","=""06037920015""","1.44"
"06037401303, CA","06037401303","=""06037401303""","6.42"
"06037910705, CA","06037910705","=""06037910705""","8.87"
"06037106510, CA","06037106510","=""06037106510""","9.42"
"06037460100, CA","06037460100","=""06037460100""","4.69"
"06037700600, CA","06037700600","=""06037700600""","4.57"
"06037800327, CA","06037800327","=""06037800327""","5.39"
"06037402200, CA","06037402200","=""06037402200""","8.50"
"06037910807, CA","06037910807","=""06037910807""","4.66"
"06037651101, CA","06037651101","=""06037651101""","11.14"
"06037460401, CA","06037460401","=""06037460401""","11.99"
"06037980015, CA","06037980015","=""06037980015""","17.71"
"06037400207, CA","06037400207","=""06037400207""","2.25"
"06037900705, CA","06037900705","=""06037900705""","16.98"
"06037900605, CA","06037900605","=""06037900605""","22.75"
"06037402402, CA","06037402402","=""06037402402""","13.20"
"06037143901, CA","06037143901","=""06037143901""","4.45"
"06037901101, CA","06037901101","=""06037901101""","15.16"
"06037670324, CA","06037670324","=""06037670324""","4.81"
"06037980013, CA","06037980013","=""06037980013""","N/A"
"06037901007, CA","06037901007","=""06037901007""","4.24"
"06037503902, CA","06037503902","=""06037503902""","4.72"
"06037900704, CA","06037900704","=""06037900704""","23.68"
"06037980023, CA","06037980023","=""06037980023""","N/A"
"06037980030, CA","06037980030","=""06037980030""","N/A"
"06037901102, CA","06037901102","=""06037901102""","10.17"
"06037900602, CA","06037900602","=""06037900602""","24.68"
"06037430200, CA","06037430200","=""06037430200""","17.05"
"06037920119, CA","06037920119","=""06037920119""","1.86"
"06037406300, CA","06037406300","=""06037406300""","7.11"
"06037576602, CA","06037576602","=""06037576602""","6.50"
"06037460301, CA","06037460301","=""06037460301""","9.09"
"06037670328, CA","06037670328","=""06037670328""","4.48"
"06037554521, CA","06037554521","=""06037554521""","12.14"
"06037403600, CA","06037403600","=""06037403600""","13.52"
"06037403500, CA","06037403500","=""06037403500""","12.09"
"06037543321, CA","06037543321","=""06037543321""","13.49"
