"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households with no internet access, between"
"06037920017, CA","06037920017","=""06037920017""","6.39"
"06037137502, CA","06037137502","=""06037137502""","13.18"
"06037910712, CA","06037910712","=""06037910712""","3.03"
"06037408301, CA","06037408301","=""06037408301""","18.81"
"06037571300, CA","06037571300","=""06037571300""","6.66"
"06037113232, CA","06037113232","=""06037113232""","1.43"
"06037301000, CA","06037301000","=""06037301000""","15.44"
"06037431600, CA","06037431600","=""06037431600""","6.85"
"06037117302, CA","06037117302","=""06037117302""","9.84"
"06037553100, CA","06037553100","=""06037553100""","7.44"
"06037406500, CA","06037406500","=""06037406500""","8.13"
"06037295103, CA","06037295103","=""06037295103""","8.06"
"06037121210, CA","06037121210","=""06037121210""","23.24"
"06037431502, CA","06037431502","=""06037431502""","11.23"
"06037103101, CA","06037103101","=""06037103101""","4.24"
"06037602509, CA","06037602509","=""06037602509""","7.80"
"06037121010, CA","06037121010","=""06037121010""","13.71"
"06037402403, CA","06037402403","=""06037402403""","9.19"
"06037553601, CA","06037553601","=""06037553601""","13.27"
"06037106020, CA","06037106020","=""06037106020""","4.82"
"06037910502, CA","06037910502","=""06037910502""","23.54"
"06037401602, CA","06037401602","=""06037401602""","7.57"
"06037910602, CA","06037910602","=""06037910602""","21.74"
"06037910713, CA","06037910713","=""06037910713""","8.90"
"06037300400, CA","06037300400","=""06037300400""","3.57"
"06037910715, CA","06037910715","=""06037910715""","6.86"
"06037111301, CA","06037111301","=""06037111301""","10.71"
"06037141400, CA","06037141400","=""06037141400""","10.07"
"06037501300, CA","06037501300","=""06037501300""","9.25"
"06037137201, CA","06037137201","=""06037137201""","5.91"
"06037407702, CA","06037407702","=""06037407702""","15.33"
"06037702400, CA","06037702400","=""06037702400""","7.23"
"06037401701, CA","06037401701","=""06037401701""","14.78"
"06037650701, CA","06037650701","=""06037650701""","10.08"
"06037430101, CA","06037430101","=""06037430101""","24.96"
"06037408505, CA","06037408505","=""06037408505""","4.55"
"06037570502, CA","06037570502","=""06037570502""","10.64"
"06037540800, CA","06037540800","=""06037540800""","23.18"
"06037432300, CA","06037432300","=""06037432300""","8.97"
"06037650902, CA","06037650902","=""06037650902""","9.97"
"06037310501, CA","06037310501","=""06037310501""","11.39"
"06037400900, CA","06037400900","=""06037400900""","2.43"
"06037406601, CA","06037406601","=""06037406601""","6.69"
"06037461100, CA","06037461100","=""06037461100""","14.21"
"06037536104, CA","06037536104","=""06037536104""","20.83"
"06037461300, CA","06037461300","=""06037461300""","11.81"
"06037543322, CA","06037543322","=""06037543322""","8.26"
"06037430302, CA","06037430302","=""06037430302""","7.19"
"06037201402, CA","06037201402","=""06037201402""","23.03"
"06037401603, CA","06037401603","=""06037401603""","13.92"
"06037701201, CA","06037701201","=""06037701201""","2.02"
"06037602600, CA","06037602600","=""06037602600""","15.31"
"06037600802, CA","06037600802","=""06037600802""","12.24"
"06037463400, CA","06037463400","=""06037463400""","5.87"
"06037602302, CA","06037602302","=""06037602302""","5.69"
"06037571900, CA","06037571900","=""06037571900""","14.35"
"06037503401, CA","06037503401","=""06037503401""","18.38"
"06037502601, CA","06037502601","=""06037502601""","18.26"
"06037502100, CA","06037502100","=""06037502100""","14.56"
"06037408705, CA","06037408705","=""06037408705""","6.14"
"06037500800, CA","06037500800","=""06037500800""","12.20"
"06037111201, CA","06037111201","=""06037111201""","8.03"
"06037553200, CA","06037553200","=""06037553200""","8.96"
"06037800331, CA","06037800331","=""06037800331""","14.29"
"06037115401, CA","06037115401","=""06037115401""","7.35"
"06037320100, CA","06037320100","=""06037320100""","9.01"
"06037300200, CA","06037300200","=""06037300200""","7.35"
"06037406000, CA","06037406000","=""06037406000""","15.39"
"06037401203, CA","06037401203","=""06037401203""","9.16"
"06037402904, CA","06037402904","=""06037402904""","13.11"
"06037189300, CA","06037189300","=""06037189300""","10.19"
"06037406200, CA","06037406200","=""06037406200""","25.32"
"06037403721, CA","06037403721","=""06037403721""","13.51"
"06037701801, CA","06037701801","=""06037701801""","8.52"
"06037405800, CA","06037405800","=""06037405800""","9.14"
"06037195100, CA","06037195100","=""06037195100""","3.58"
"06037571701, CA","06037571701","=""06037571701""","12.30"
"06037463900, CA","06037463900","=""06037463900""","6.47"
"06037650101, CA","06037650101","=""06037650101""","8.88"
"06037920045, CA","06037920045","=""06037920045""","0.52"
"06037403801, CA","06037403801","=""06037403801""","10.60"
"06037134800, CA","06037134800","=""06037134800""","4.62"
"06037432102, CA","06037432102","=""06037432102""","5.95"
"06037111202, CA","06037111202","=""06037111202""","6.07"
"06037432700, CA","06037432700","=""06037432700""","15.39"
"06037264000, CA","06037264000","=""06037264000""","2.73"
"06037650300, CA","06037650300","=""06037650300""","11.63"
"06037430802, CA","06037430802","=""06037430802""","9.62"
"06037405500, CA","06037405500","=""06037405500""","14.53"
"06037540000, CA","06037540000","=""06037540000""","23.06"
"06037402902, CA","06037402902","=""06037402902""","15.41"
"06037461000, CA","06037461000","=""06037461000""","17.43"
"06037577000, CA","06037577000","=""06037577000""","10.86"
"06037481402, CA","06037481402","=""06037481402""","11.52"
"06037481901, CA","06037481901","=""06037481901""","11.90"
"06037574100, CA","06037574100","=""06037574100""","4.41"
"06037920041, CA","06037920041","=""06037920041""","0.00"
"06037117202, CA","06037117202","=""06037117202""","5.41"
"06037900806, CA","06037900806","=""06037900806""","44.01"
"06037111400, CA","06037111400","=""06037111400""","11.70"
"06037651402, CA","06037651402","=""06037651402""","6.37"
"06037573700, CA","06037573700","=""06037573700""","6.07"
"06037401704, CA","06037401704","=""06037401704""","11.15"
"06037702502, CA","06037702502","=""06037702502""","8.63"
"06037574000, CA","06037574000","=""06037574000""","5.23"
"06037402801, CA","06037402801","=""06037402801""","18.74"
"06037117303, CA","06037117303","=""06037117303""","6.67"
"06037570901, CA","06037570901","=""06037570901""","5.70"
"06037403722, CA","06037403722","=""06037403722""","14.35"
"06037463000, CA","06037463000","=""06037463000""","4.10"
"06037530202, CA","06037530202","=""06037530202""","25.70"
"06037554518, CA","06037554518","=""06037554518""","4.56"
"06037405302, CA","06037405302","=""06037405302""","9.14"
"06037275302, CA","06037275302","=""06037275302""","8.55"
"06037113322, CA","06037113322","=""06037113322""","7.87"
"06037408800, CA","06037408800","=""06037408800""","14.78"
"06037431400, CA","06037431400","=""06037431400""","9.15"
"06037143100, CA","06037143100","=""06037143100""","2.58"
"06037433200, CA","06037433200","=""06037433200""","25.13"
"06037602301, CA","06037602301","=""06037602301""","8.59"
"06037117404, CA","06037117404","=""06037117404""","7.49"
"06037900606, CA","06037900606","=""06037900606""","36.68"
"06037553802, CA","06037553802","=""06037553802""","17.84"
"06037135202, CA","06037135202","=""06037135202""","6.34"
"06037431001, CA","06037431001","=""06037431001""","15.78"
"06037570701, CA","06037570701","=""06037570701""","9.05"
"06037143400, CA","06037143400","=""06037143400""","9.42"
"06037502200, CA","06037502200","=""06037502200""","14.72"
"06037408629, CA","06037408629","=""06037408629""","2.05"
"06037554900, CA","06037554900","=""06037554900""","19.19"
"06037115202, CA","06037115202","=""06037115202""","4.18"
"06037406800, CA","06037406800","=""06037406800""","10.81"
"06037920112, CA","06037920112","=""06037920112""","3.86"
"06037571000, CA","06037571000","=""06037571000""","7.81"
"06037294701, CA","06037294701","=""06037294701""","21.01"
"06037463700, CA","06037463700","=""06037463700""","1.55"
"06037900607, CA","06037900607","=""06037900607""","26.98"
"06037206050, CA","06037206050","=""06037206050""","48.32"
"06037651201, CA","06037651201","=""06037651201""","5.32"
"06037403402, CA","06037403402","=""06037403402""","4.36"
"06037128400, CA","06037128400","=""06037128400""","6.61"
"06037408303, CA","06037408303","=""06037408303""","6.58"
"06037554519, CA","06037554519","=""06037554519""","7.05"
"06037120300, CA","06037120300","=""06037120300""","12.01"
"06037401901, CA","06037401901","=""06037401901""","13.39"
"06037320300, CA","06037320300","=""06037320300""","32.13"
"06037503702, CA","06037503702","=""06037503702""","6.90"
"06037480802, CA","06037480802","=""06037480802""","7.78"
"06037403702, CA","06037403702","=""06037403702""","5.14"
"06037430801, CA","06037430801","=""06037430801""","5.66"
"06037122200, CA","06037122200","=""06037122200""","23.93"
"06037311100, CA","06037311100","=""06037311100""","12.91"
"06037405001, CA","06037405001","=""06037405001""","7.66"
"06037119002, CA","06037119002","=""06037119002""","16.94"
"06037404701, CA","06037404701","=""06037404701""","9.21"
"06037201700, CA","06037201700","=""06037201700""","8.78"
"06037121900, CA","06037121900","=""06037121900""","22.20"
"06037264302, CA","06037264302","=""06037264302""","5.64"
"06037186302, CA","06037186302","=""06037186302""","10.65"
"06037552200, CA","06037552200","=""06037552200""","22.90"
"06037135102, CA","06037135102","=""06037135102""","5.04"
"06037463500, CA","06037463500","=""06037463500""","2.69"
"06037573403, CA","06037573403","=""06037573403""","9.37"
"06037551101, CA","06037551101","=""06037551101""","18.20"
"06037402002, CA","06037402002","=""06037402002""","12.25"
"06037551102, CA","06037551102","=""06037551102""","15.01"
"06037462700, CA","06037462700","=""06037462700""","13.13"
"06037621326, CA","06037621326","=""06037621326""","0.35"
"06037104704, CA","06037104704","=""06037104704""","11.01"
"06037920336, CA","06037920336","=""06037920336""","14.23"
"06037543503, CA","06037543503","=""06037543503""","11.00"
"06037102104, CA","06037102104","=""06037102104""","13.25"
"06037461600, CA","06037461600","=""06037461600""","20.04"
"06037128702, CA","06037128702","=""06037128702""","4.25"
"06037300502, CA","06037300502","=""06037300502""","11.25"
"06037920337, CA","06037920337","=""06037920337""","17.49"
"06037670403, CA","06037670403","=""06037670403""","4.13"
"06037238000, CA","06037238000","=""06037238000""","23.91"
"06037143300, CA","06037143300","=""06037143300""","2.69"
"06037570202, CA","06037570202","=""06037570202""","15.66"
"06037203500, CA","06037203500","=""06037203500""","20.41"
"06037621104, CA","06037621104","=""06037621104""","2.58"
"06037115301, CA","06037115301","=""06037115301""","13.37"
"06037406102, CA","06037406102","=""06037406102""","14.37"
"06037550100, CA","06037550100","=""06037550100""","12.70"
"06037482522, CA","06037482522","=""06037482522""","12.66"
"06037262501, CA","06037262501","=""06037262501""","3.36"
"06037910505, CA","06037910505","=""06037910505""","6.76"
"06037463200, CA","06037463200","=""06037463200""","4.20"
"06037621201, CA","06037621201","=""06037621201""","4.26"
"06037320202, CA","06037320202","=""06037320202""","10.61"
"06037543602, CA","06037543602","=""06037543602""","8.84"
"06037137301, CA","06037137301","=""06037137301""","2.22"
"06037278001, CA","06037278001","=""06037278001""","7.15"
"06037910504, CA","06037910504","=""06037910504""","11.64"
"06037132002, CA","06037132002","=""06037132002""","2.97"
"06037650001, CA","06037650001","=""06037650001""","14.76"
"06037543304, CA","06037543304","=""06037543304""","6.73"
"06037301400, CA","06037301400","=""06037301400""","2.89"
"06037265301, CA","06037265301","=""06037265301""","N/A"
"06037502301, CA","06037502301","=""06037502301""","9.08"
"06037109700, CA","06037109700","=""06037109700""","2.20"
"06037402903, CA","06037402903","=""06037402903""","13.44"
"06037503402, CA","06037503402","=""06037503402""","6.04"
"06037481202, CA","06037481202","=""06037481202""","11.42"
"06037406602, CA","06037406602","=""06037406602""","15.91"
"06037106642, CA","06037106642","=""06037106642""","7.93"
"06037134303, CA","06037134303","=""06037134303""","10.96"
"06037134423, CA","06037134423","=""06037134423""","8.71"
"06037433801, CA","06037433801","=""06037433801""","23.53"
"06037601401, CA","06037601401","=""06037601401""","10.53"
"06037551900, CA","06037551900","=""06037551900""","9.82"
"06037433101, CA","06037433101","=""06037433101""","16.17"
"06037199000, CA","06037199000","=""06037199000""","17.13"
"06037542402, CA","06037542402","=""06037542402""","13.32"
"06037111302, CA","06037111302","=""06037111302""","6.94"
"06037621301, CA","06037621301","=""06037621301""","8.84"
"06037294120, CA","06037294120","=""06037294120""","12.74"
"06037127210, CA","06037127210","=""06037127210""","10.34"
"06037482521, CA","06037482521","=""06037482521""","11.23"
"06037400602, CA","06037400602","=""06037400602""","13.96"
"06037572201, CA","06037572201","=""06037572201""","8.57"
"06037572202, CA","06037572202","=""06037572202""","5.76"
"06037503302, CA","06037503302","=""06037503302""","11.20"
"06037530400, CA","06037530400","=""06037530400""","28.68"
"06037503501, CA","06037503501","=""06037503501""","14.61"
"06037504002, CA","06037504002","=""06037504002""","6.95"
"06037123601, CA","06037123601","=""06037123601""","15.07"
"06037135201, CA","06037135201","=""06037135201""","8.14"
"06037113422, CA","06037113422","=""06037113422""","10.38"
"06037480201, CA","06037480201","=""06037480201""","3.05"
"06037554802, CA","06037554802","=""06037554802""","10.93"
"06037115103, CA","06037115103","=""06037115103""","0.00"
"06037571504, CA","06037571504","=""06037571504""","13.46"
"06037540300, CA","06037540300","=""06037540300""","15.02"
"06037551300, CA","06037551300","=""06037551300""","14.91"
"06037573800, CA","06037573800","=""06037573800""","2.89"
"06037570001, CA","06037570001","=""06037570001""","12.36"
"06037133100, CA","06037133100","=""06037133100""","15.51"
"06037651222, CA","06037651222","=""06037651222""","1.80"
"06037570402, CA","06037570402","=""06037570402""","5.14"
"06037480202, CA","06037480202","=""06037480202""","7.35"
"06037920331, CA","06037920331","=""06037920331""","2.73"
"06037104310, CA","06037104310","=""06037104310""","22.61"
"06037910501, CA","06037910501","=""06037910501""","23.85"
"06037432402, CA","06037432402","=""06037432402""","21.07"
"06037402702, CA","06037402702","=""06037402702""","20.70"
"06037554514, CA","06037554514","=""06037554514""","8.59"
"06037311500, CA","06037311500","=""06037311500""","5.69"
"06037900804, CA","06037900804","=""06037900804""","38.10"
"06037407900, CA","06037407900","=""06037407900""","9.61"
"06037203300, CA","06037203300","=""06037203300""","31.36"
"06037603900, CA","06037603900","=""06037603900""","11.76"
"06037670405, CA","06037670405","=""06037670405""","9.58"
"06037577604, CA","06037577604","=""06037577604""","5.43"
"06037431800, CA","06037431800","=""06037431800""","9.77"
"06037670003, CA","06037670003","=""06037670003""","5.30"
"06037106646, CA","06037106646","=""06037106646""","7.76"
"06037408631, CA","06037408631","=""06037408631""","5.56"
"06037431200, CA","06037431200","=""06037431200""","16.71"
"06037570501, CA","06037570501","=""06037570501""","14.00"
"06037403305, CA","06037403305","=""06037403305""","0.72"
"06037401002, CA","06037401002","=""06037401002""","14.96"
"06037555102, CA","06037555102","=""06037555102""","22.46"
"06037402502, CA","06037402502","=""06037402502""","15.65"
"06037550602, CA","06037550602","=""06037550602""","6.25"
"06037134201, CA","06037134201","=""06037134201""","4.63"
"06037543603, CA","06037543603","=""06037543603""","11.87"
"06037501002, CA","06037501002","=""06037501002""","4.97"
"06037205120, CA","06037205120","=""06037205120""","37.46"
"06037551501, CA","06037551501","=""06037551501""","9.05"
"06037189702, CA","06037189702","=""06037189702""","5.38"
"06037271300, CA","06037271300","=""06037271300""","6.28"
"06037402001, CA","06037402001","=""06037402001""","12.99"
"06037552100, CA","06037552100","=""06037552100""","19.72"
"06037700801, CA","06037700801","=""06037700801""","14.64"
"06037407200, CA","06037407200","=""06037407200""","23.35"
"06037404401, CA","06037404401","=""06037404401""","20.60"
"06037401001, CA","06037401001","=""06037401001""","5.63"
"06037131020, CA","06037131020","=""06037131020""","10.31"
"06037189400, CA","06037189400","=""06037189400""","0.43"
"06037540501, CA","06037540501","=""06037540501""","19.47"
"06037554516, CA","06037554516","=""06037554516""","1.03"
"06037106113, CA","06037106113","=""06037106113""","5.80"
"06037181300, CA","06037181300","=""06037181300""","7.61"
"06037670100, CA","06037670100","=""06037670100""","13.79"
"06037113235, CA","06037113235","=""06037113235""","10.55"
"06037206010, CA","06037206010","=""06037206010""","18.36"
"06037297000, CA","06037297000","=""06037297000""","6.50"
"06037532101, CA","06037532101","=""06037532101""","15.78"
"06037572001, CA","06037572001","=""06037572001""","7.33"
"06037701000, CA","06037701000","=""06037701000""","7.28"
"06037408504, CA","06037408504","=""06037408504""","6.76"
"06037501200, CA","06037501200","=""06037501200""","8.64"
"06037481103, CA","06037481103","=""06037481103""","15.15"
"06037500900, CA","06037500900","=""06037500900""","24.20"
"06037408003, CA","06037408003","=""06037408003""","11.91"
"06037310400, CA","06037310400","=""06037310400""","6.36"
"06037651001, CA","06037651001","=""06037651001""","6.00"
"06037109800, CA","06037109800","=""06037109800""","7.10"
"06037432601, CA","06037432601","=""06037432601""","19.34"
"06037551202, CA","06037551202","=""06037551202""","5.83"
"06037541700, CA","06037541700","=""06037541700""","5.30"
"06037197410, CA","06037197410","=""06037197410""","9.47"
"06037930401, CA","06037930401","=""06037930401""","N/A"
"06037269500, CA","06037269500","=""06037269500""","2.68"
"06037404801, CA","06037404801","=""06037404801""","8.04"
"06037650702, CA","06037650702","=""06037650702""","3.81"
"06037503601, CA","06037503601","=""06037503601""","8.97"
"06037406101, CA","06037406101","=""06037406101""","17.25"
"06037501700, CA","06037501700","=""06037501700""","8.44"
"06037577602, CA","06037577602","=""06037577602""","5.69"
"06037432202, CA","06037432202","=""06037432202""","15.46"
"06037504001, CA","06037504001","=""06037504001""","12.88"
"06037910606, CA","06037910606","=""06037910606""","8.30"
"06037542200, CA","06037542200","=""06037542200""","21.19"
"06037115201, CA","06037115201","=""06037115201""","7.83"
"06037501900, CA","06037501900","=""06037501900""","11.76"
"06037408624, CA","06037408624","=""06037408624""","10.40"
"06037132102, CA","06037132102","=""06037132102""","15.35"
"06037302401, CA","06037302401","=""06037302401""","23.28"
"06037552700, CA","06037552700","=""06037552700""","10.46"
"06037571502, CA","06037571502","=""06037571502""","13.41"
"06037552602, CA","06037552602","=""06037552602""","11.17"
"06037621324, CA","06037621324","=""06037621324""","3.76"
"06037431002, CA","06037431002","=""06037431002""","14.84"
"06037575500, CA","06037575500","=""06037575500""","58.54"
"06037910605, CA","06037910605","=""06037910605""","14.32"
"06037124700, CA","06037124700","=""06037124700""","8.08"
"06037900608, CA","06037900608","=""06037900608""","15.35"
"06037620601, CA","06037620601","=""06037620601""","2.32"
"06037405702, CA","06037405702","=""06037405702""","10.53"
"06037405201, CA","06037405201","=""06037405201""","11.35"
"06037920023, CA","06037920023","=""06037920023""","6.68"
"06037480002, CA","06037480002","=""06037480002""","7.45"
"06037124000, CA","06037124000","=""06037124000""","7.75"
"06037577501, CA","06037577501","=""06037577501""","9.18"
"06037532001, CA","06037532001","=""06037532001""","29.14"
"06037702700, CA","06037702700","=""06037702700""","6.37"
"06037620101, CA","06037620101","=""06037620101""","2.88"
"06037404100, CA","06037404100","=""06037404100""","17.97"
"06037541300, CA","06037541300","=""06037541300""","15.95"
"06037186100, CA","06037186100","=""06037186100""","6.91"
"06037574202, CA","06037574202","=""06037574202""","11.80"
"06037543802, CA","06037543802","=""06037543802""","8.55"
"06037405400, CA","06037405400","=""06037405400""","12.35"
"06037543903, CA","06037543903","=""06037543903""","7.26"
"06037301100, CA","06037301100","=""06037301100""","14.48"
"06037620602, CA","06037620602","=""06037620602""","4.61"
"06037121222, CA","06037121222","=""06037121222""","11.08"
"06037702501, CA","06037702501","=""06037702501""","0.00"
"06037503201, CA","06037503201","=""06037503201""","9.41"
"06037128910, CA","06037128910","=""06037128910""","4.81"
"06037236400, CA","06037236400","=""06037236400""","8.41"
"06037117301, CA","06037117301","=""06037117301""","5.89"
"06037500402, CA","06037500402","=""06037500402""","19.24"
"06037402301, CA","06037402301","=""06037402301""","13.20"
"06037300501, CA","06037300501","=""06037300501""","7.39"
"06037574901, CA","06037574901","=""06037574901""","6.55"
"06037502004, CA","06037502004","=""06037502004""","16.33"
"06037602802, CA","06037602802","=""06037602802""","14.72"
"06037900505, CA","06037900505","=""06037900505""","22.85"
"06037900506, CA","06037900506","=""06037900506""","12.87"
"06037650502, CA","06037650502","=""06037650502""","5.35"
"06037311000, CA","06037311000","=""06037311000""","5.56"
"06037132700, CA","06037132700","=""06037132700""","14.45"
"06037503000, CA","06037503000","=""06037503000""","19.81"
"06037131900, CA","06037131900","=""06037131900""","3.75"
"06037404000, CA","06037404000","=""06037404000""","17.17"
"06037405900, CA","06037405900","=""06037405900""","13.03"
"06037530102, CA","06037530102","=""06037530102""","28.92"
"06037131800, CA","06037131800","=""06037131800""","9.34"
"06037503802, CA","06037503802","=""06037503802""","7.52"
"06037462400, CA","06037462400","=""06037462400""","9.84"
"06037620702, CA","06037620702","=""06037620702""","7.37"
"06037571101, CA","06037571101","=""06037571101""","7.82"
"06037404703, CA","06037404703","=""06037404703""","14.15"
"06037700400, CA","06037700400","=""06037700400""","4.73"
"06037602402, CA","06037602402","=""06037602402""","10.41"
"06037119700, CA","06037119700","=""06037119700""","9.52"
"06037554517, CA","06037554517","=""06037554517""","4.01"
"06037460302, CA","06037460302","=""06037460302""","13.25"
"06037134302, CA","06037134302","=""06037134302""","6.42"
"06037402804, CA","06037402804","=""06037402804""","11.00"
"06037543000, CA","06037543000","=""06037543000""","18.49"
"06037123301, CA","06037123301","=""06037123301""","17.89"
"06037543702, CA","06037543702","=""06037543702""","7.46"
"06037125200, CA","06037125200","=""06037125200""","18.03"
"06037113213, CA","06037113213","=""06037113213""","4.31"
"06037403802, CA","06037403802","=""06037403802""","13.50"
"06037552900, CA","06037552900","=""06037552900""","14.13"
"06037536000, CA","06037536000","=""06037536000""","19.54"
"06037400302, CA","06037400302","=""06037400302""","9.44"
"06037530004, CA","06037530004","=""06037530004""","18.96"
"06037201401, CA","06037201401","=""06037201401""","13.97"
"06037408706, CA","06037408706","=""06037408706""","3.98"
"06037125100, CA","06037125100","=""06037125100""","7.99"
"06037234600, CA","06037234600","=""06037234600""","21.63"
"06037238400, CA","06037238400","=""06037238400""","23.45"
"06037109400, CA","06037109400","=""06037109400""","15.81"
"06037430102, CA","06037430102","=""06037430102""","19.60"
"06037570203, CA","06037570203","=""06037570203""","22.41"
"06037123901, CA","06037123901","=""06037123901""","12.75"
"06037123800, CA","06037123800","=""06037123800""","13.94"
"06037551700, CA","06037551700","=""06037551700""","10.42"
"06037503801, CA","06037503801","=""06037503801""","3.08"
"06037275311, CA","06037275311","=""06037275311""","9.88"
"06037553801, CA","06037553801","=""06037553801""","11.20"
"06037552800, CA","06037552800","=""06037552800""","11.37"
"06037574601, CA","06037574601","=""06037574601""","N/A"
"06037542401, CA","06037542401","=""06037542401""","14.80"
"06037574201, CA","06037574201","=""06037574201""","9.56"
"06037480400, CA","06037480400","=""06037480400""","11.36"
"06037291130, CA","06037291130","=""06037291130""","26.40"
"06037480012, CA","06037480012","=""06037480012""","3.58"
"06037401102, CA","06037401102","=""06037401102""","11.26"
"06037132300, CA","06037132300","=""06037132300""","11.93"
"06037650800, CA","06037650800","=""06037650800""","6.38"
"06037555001, CA","06037555001","=""06037555001""","9.51"
"06037650603, CA","06037650603","=""06037650603""","5.43"
"06037135114, CA","06037135114","=""06037135114""","12.35"
"06037239202, CA","06037239202","=""06037239202""","23.89"
"06037141302, CA","06037141302","=""06037141302""","3.76"
"06037276400, CA","06037276400","=""06037276400""","5.31"
"06037216300, CA","06037216300","=""06037216300""","2.62"
"06037553901, CA","06037553901","=""06037553901""","17.42"
"06037910403, CA","06037910403","=""06037910403""","15.12"
"06037267600, CA","06037267600","=""06037267600""","7.81"
"06037621400, CA","06037621400","=""06037621400""","4.64"
"06037572600, CA","06037572600","=""06037572600""","5.59"
"06037554002, CA","06037554002","=""06037554002""","22.49"
"06037702002, CA","06037702002","=""06037702002""","3.81"
"06037403406, CA","06037403406","=""06037403406""","6.66"
"06037553502, CA","06037553502","=""06037553502""","15.31"
"06037550202, CA","06037550202","=""06037550202""","13.63"
"06037502602, CA","06037502602","=""06037502602""","16.43"
"06037403901, CA","06037403901","=""06037403901""","9.33"
"06037553000, CA","06037553000","=""06037553000""","1.44"
"06037181600, CA","06037181600","=""06037181600""","8.45"
"06037540101, CA","06037540101","=""06037540101""","12.61"
"06037541603, CA","06037541603","=""06037541603""","17.46"
"06037602801, CA","06037602801","=""06037602801""","33.12"
"06037670407, CA","06037670407","=""06037670407""","4.78"
"06037571102, CA","06037571102","=""06037571102""","9.43"
"06037701802, CA","06037701802","=""06037701802""","5.21"
"06037119800, CA","06037119800","=""06037119800""","9.29"
"06037103102, CA","06037103102","=""06037103102""","10.04"
"06037540102, CA","06037540102","=""06037540102""","18.63"
"06037320000, CA","06037320000","=""06037320000""","N/A"
"06037552301, CA","06037552301","=""06037552301""","15.03"
"06037502901, CA","06037502901","=""06037502901""","10.39"
"06037139001, CA","06037139001","=""06037139001""","5.01"
"06037143500, CA","06037143500","=""06037143500""","3.05"
"06037503502, CA","06037503502","=""06037503502""","8.75"
"06037234000, CA","06037234000","=""06037234000""","12.75"
"06037541100, CA","06037541100","=""06037541100""","12.96"
"06037109300, CA","06037109300","=""06037109300""","6.85"
"06037291210, CA","06037291210","=""06037291210""","6.24"
"06037277100, CA","06037277100","=""06037277100""","2.76"
"06037265700, CA","06037265700","=""06037265700""","11.58"
"06037920036, CA","06037920036","=""06037920036""","6.57"
"06037650602, CA","06037650602","=""06037650602""","8.36"
"06037701601, CA","06037701601","=""06037701601""","1.68"
"06037224020, CA","06037224020","=""06037224020""","29.90"
"06037480102, CA","06037480102","=""06037480102""","7.50"
"06037482701, CA","06037482701","=""06037482701""","10.64"
"06037533806, CA","06037533806","=""06037533806""","21.96"
"06037311300, CA","06037311300","=""06037311300""","4.98"
"06037621002, CA","06037621002","=""06037621002""","3.33"
"06037143602, CA","06037143602","=""06037143602""","3.53"
"06037406412, CA","06037406412","=""06037406412""","10.16"
"06037104320, CA","06037104320","=""06037104320""","26.97"
"06037601302, CA","06037601302","=""06037601302""","5.19"
"06037195500, CA","06037195500","=""06037195500""","9.83"
"06037504101, CA","06037504101","=""06037504101""","14.96"
"06037481401, CA","06037481401","=""06037481401""","13.09"
"06037577100, CA","06037577100","=""06037577100""","4.62"
"06037185202, CA","06037185202","=""06037185202""","5.22"
"06037554515, CA","06037554515","=""06037554515""","5.07"
"06037702201, CA","06037702201","=""06037702201""","6.60"
"06037109500, CA","06037109500","=""06037109500""","30.64"
"06037109200, CA","06037109200","=""06037109200""","4.13"
"06037570301, CA","06037570301","=""06037570301""","19.73"
"06037272100, CA","06037272100","=""06037272100""","11.18"
"06037132900, CA","06037132900","=""06037132900""","8.27"
"06037702801, CA","06037702801","=""06037702801""","15.23"
"06037920111, CA","06037920111","=""06037920111""","4.70"
"06037500404, CA","06037500404","=""06037500404""","18.09"
"06037240700, CA","06037240700","=""06037240700""","31.33"
"06037102103, CA","06037102103","=""06037102103""","12.86"
"06037276500, CA","06037276500","=""06037276500""","5.92"
"06037433501, CA","06037433501","=""06037433501""","35.66"
"06037402101, CA","06037402101","=""06037402101""","10.35"
"06037273902, CA","06037273902","=""06037273902""","1.88"
"06037573100, CA","06037573100","=""06037573100""","21.57"
"06037620002, CA","06037620002","=""06037620002""","6.35"
"06037109604, CA","06037109604","=""06037109604""","9.69"
"06037670406, CA","06037670406","=""06037670406""","1.97"
"06037235100, CA","06037235100","=""06037235100""","9.80"
"06037620001, CA","06037620001","=""06037620001""","2.71"
"06037500600, CA","06037500600","=""06037500600""","19.58"
"06037430902, CA","06037430902","=""06037430902""","9.51"
"06037106405, CA","06037106405","=""06037106405""","9.80"
"06037536103, CA","06037536103","=""06037536103""","16.54"
"06037267200, CA","06037267200","=""06037267200""","3.71"
"06037651002, CA","06037651002","=""06037651002""","7.11"
"06037461502, CA","06037461502","=""06037461502""","26.87"
"06037104703, CA","06037104703","=""06037104703""","14.34"
"06037273100, CA","06037273100","=""06037273100""","0.82"
"06037432101, CA","06037432101","=""06037432101""","9.05"
"06037430901, CA","06037430901","=""06037430901""","15.49"
"06037550601, CA","06037550601","=""06037550601""","11.80"
"06037187300, CA","06037187300","=""06037187300""","3.63"
"06037402406, CA","06037402406","=""06037402406""","15.99"
"06037301300, CA","06037301300","=""06037301300""","7.00"
"06037111205, CA","06037111205","=""06037111205""","2.19"
"06037401703, CA","06037401703","=""06037401703""","13.05"
